ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ambati rambabu,ap employees,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy,kotamreddy ,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri,nandigama
vmoancnZHlc,2022-10-15,-0.9977752566337584,2690.0,ABN,463.0,4.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pr6_3KlbvBA,2022-10-17,0.9983409643173218,59083.0,Sakshi,421.0,152.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HC03QgoEXHc,2022-10-18,0.9943572878837584,312969.0,Sakshi,458.0,0.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rGsnMOXnYQ8,2022-10-19,-0.9829239249229432,159.0,ABN,248.0,0.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TZwGkzwdVco,2022-10-20,-0.9959293007850648,1217.0,ABN,324.0,1.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
BqIFbS6k56o,2022-10-20,-0.9945032596588136,1001.0,ABN,357.0,3.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ZKEHYCTEpyU,2022-10-20,0.991637408733368,3084.0,ABN,311.0,21.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
zHkSGyErp5M,2022-10-20,0.9971129894256592,1173.0,TV5,290.0,6.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1
T8rrdUc04JY,2022-10-22,-0.9977988600730896,71008.0,Sakshi,223.0,105.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tTa88e1a43A,2022-10-24,0.997646152973175,4066.0,TV5,485.0,1.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_j_fvqw0zjs,2022-10-24,-0.9981166124343872,4610.0,TV5,473.0,16.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ic4o--Q-FR4,2022-10-24,-0.9961035251617432,4339.0,TV5,448.0,13.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5Ong2Ddsksw,2022-10-24,-0.9884704351425172,2625.0,TV5,511.0,8.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hAdaj3Ae5BI,2022-10-25,0.9988307356834412,1239.0,ABN,435.0,0.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jCyqACU3Jz4,2022-10-27,-0.9979907274246216,1905.0,TV5,305.0,1.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3lAfz6XCvX0,2022-11-01,0.9919923543930054,1295.0,ABN,357.0,1.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
J__C3QSAz2w,2022-11-03,-0.9989895224571228,690.0,ABN,165.0,3.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YvhZFGuY5RA,2022-11-03,-0.9994755387306212,1898.0,ABN,270.0,0.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yWLpvOdqvSQ,2022-11-03,-0.9991670846939088,2060.0,ABN,190.0,3.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UZUbam-zWqI,2022-11-03,-0.9986401200294496,137805.0,TV5,250.0,59.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1nblW9eBNjM,2022-11-03,-0.9978964328765868,3410.0,TV5,80.0,3.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DW9Lqnx8y30,2022-11-03,0.9956427812576294,5930.0,ABN,475.0,5.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1PC_vqgwiGw,2022-11-05,-0.9974575638771056,1901.0,ABN,495.0,1.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F13yb7Nlsdw,2022-11-06,-0.9954053163528442,11985.0,Sakshi,310.0,51.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
r5YM18Yn5Yc,2022-11-08,-0.9986009001731871,1212.0,TV5,190.0,4.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6avodY2I2nE,2022-11-08,-0.9939671754837036,1111.0,TV5,120.0,0.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9OSrm8r7-W4,2022-11-08,-0.9929446578025818,2287.0,TV5,310.0,3.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
7gJV-ywI8Y8,2022-11-08,-0.9982417821884156,2179.0,TV5,225.0,3.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c1apQA1GtXQ,2022-11-08,0.9892131686210632,12235.0,Sakshi,417.0,23.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lOjkTrEAZPU,2022-11-08,0.9978694915771484,1513.0,Sakshi,240.0,4.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
8Dry36roAhQ,2022-11-08,-0.9154322147369384,639.0,TV5,245.0,1.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6gVaVBZeTNg,2022-11-08,0.9966552257537842,2437.0,TV5,225.0,4.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
AKbCG2a_rnI,2022-11-10,0.9966976642608644,2811.0,TV5,305.0,7.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0
8zQVav5poc8,2022-11-10,-0.9825527667999268,6061.0,TV5,110.0,5.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
2BBnXGCgbsg,2022-11-11,0.9824105501174928,1557.0,ABN,564.0,1.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kHCEZ16vb7g,2022-11-11,0.9697660207748412,5831.0,TV5,266.0,9.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
9nFnFufS8qY,2022-11-12,-0.9994896650314332,3371.0,ABN,400.0,5.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a912r2_zcHY,2022-11-12,-0.9967789053916932,1629.0,ABN,410.0,3.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DpG307zq_Sk,2022-11-12,0.9986780285835266,5608.0,Sakshi,533.0,10.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
tJ-Qp5bPdb4,2022-11-12,-0.9934710264205932,3151.0,ABN,300.0,1.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0
rVbc9_CPaXk,2022-11-13,-0.8056135177612305,1099.0,ABN,145.0,0.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVr8iDDNSZA,2022-11-14,-0.9984038472175598,2461.0,ABN,311.0,4.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pb089IQ8Uoc,2022-11-15,0.9982670545578004,14185.0,TV5,167.0,2.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SP-Pm_DIsSc,2022-11-16,-0.988058626651764,631.0,ABN,319.0,0.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lzICkNACJyw,2022-11-20,0.9935392737388612,6213.0,Sakshi,546.0,9.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URHc47PmO6I,2022-11-20,-0.9942949414253236,2325.0,TV9,531.0,0.0,baptla.png,Kona Raghupath,YSRCP,Bapatla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
