ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,ap employees,ap assembly session today,alliance,visakha
T12NdA3vuAA,2022-12-17,-0.9984543323516846,6491.0,TV9,251.0,15.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,0,0,0,0,0,0,0,0,0,0,0
Px6iRcR--9w,2022-12-17,0.9925400614738464,2282.0,TV9,202.0,5.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
MxPCG55l11s,2022-12-17,0.9931447505950928,48139.0,TV9,207.0,8.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,1,0,0,0,0,0,0
vkkdHHgbKDk,2022-12-18,-0.997774302959442,2809.0,TV9,306.0,2.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,1,0,0,0,0,0,0,0,0,0
GwF0co0Cpfc,2022-12-19,0.9948564767837524,863.0,Sakshi,68.0,5.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,1,0,0,0,0,0,0,0
FS_U0gBT6fs,2022-12-21,0.9930055737495422,11895.0,TV5,120.0,11.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,1,0,0,1,0,0,0,0,0,0,0
l30lT6rGdy4,2022-12-23,-0.9856243133544922,1647.0,TV9,262.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
mFt9TaI8kPk,2022-12-23,-0.9968904852867126,27652.0,ABN,410.0,35.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,1,1,0,0,0,0,0,0,0
lH-6KlI-kqk,2022-12-30,0.9986525774002076,492.0,TV9,301.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
waoFraT_0po,2022-12-31,0.9988299012184144,1842.0,Sakshi,335.0,5.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,1,0,0,0,0,1,0
X05_vOZBkcg,2022-12-31,-0.99827241897583,48225.0,Sakshi,220.0,207.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,1,1,0,0,0,1,0,0
1IX5zCsKmWY,2022-12-31,0.9884755611419678,178818.0,ABN,365.0,530.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
S6NBvuXjTHY,2023-01-03,-0.9951381087303162,2527.0,TV9,555.0,4.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
gkzgNWiXErI,2023-01-04,0.9915731549263,20647.0,Sakshi,409.0,79.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,1,1,0,0,0,0,0,0,0
GDANtdZFJa8,2023-01-05,-0.9935877323150636,4309.0,Sakshi,476.0,24.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,1,0,0,0,0,0,0,0
dm7u5x-tmHg,2023-01-05,-0.9914516806602478,953.0,TV5,135.0,1.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
gJ4JIjhV8kA,2023-01-05,0.9975540041923524,1293.0,TV5,150.0,4.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,1,0,1,0,0,0,0,0,0,0,0
OWQta7ekahc,2023-01-05,-0.999118149280548,913.0,TV9,335.0,4.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
HW3CFfUg9SI,2023-01-06,-0.9915931224822998,57237.0,ABN,510.0,69.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
XgsnOvWoVTM,2023-01-15,0.9988711476325988,1448571.0,TV5,175.0,473.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,1,0,0,0,0,0,0,0
ltlex73NUOw,2023-01-18,-0.9962781071662904,6366.0,Sakshi,78.0,8.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,1,0,0,0,0,0,0,0
tQcEjcZKRQM,2023-01-19,-0.992508351802826,34879.0,Sakshi,484.0,89.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,0,0,0,1,0,0,0,0,0,0,0
BbSiV0bhIv4,2023-01-19,0.98689866065979,2417.0,TV9,385.0,1.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
maWV41kT0AI,2023-01-19,-0.9877064824104308,5488.0,TV9,138.0,6.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,0,0,0,0,0,0,0,0,0,1,0
2L2EDexawhw,2023-01-20,-0.9948775768280028,1058.0,Sakshi,362.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
1KkN7Gn7mBQ,2023-01-20,-0.9957221746444702,6585.0,Sakshi,486.0,8.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
ePW9rmYIC_U,2023-01-21,0.9858126640319824,1913.0,Sakshi,196.0,11.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,1,1,0,0,1,1,0,0,0,0,0,0
QRCkdb3vIVI,2023-01-21,-0.998198926448822,1530.0,TV9,313.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
jUUMPjCT0Ew,2023-01-23,0.9971079230308532,2999.0,ABN,205.0,4.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
e_Q0QeMS7B8,2023-01-24,-0.9872384071350098,1426.0,TV9,189.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,0,1,0,0,0,0,0,0,0,0,0
tSC3acs8hbQ,2023-01-26,0.98239266872406,460.0,Sakshi,569.0,2.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
