ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,roja,yuvashakti,suprem court,ap development,tadipatri
QwM4ICE3z0g,2023-03-25,-0.9973188042640686,894.0,TV9,114.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,1,0
5JfY7owYgCw,2023-03-26,-0.9992051720619202,8424.0,TV5,254.0,25.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,1,1,1,0,0,0,0,0,0,0,0,0
0dtwWNKv2T4,2023-03-26,-0.9944356679916382,8756.0,ABN,230.0,15.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,1,0,0,0,0,0,0,1,0,0
nUtPqMQfJJc,2023-03-26,-0.998437225818634,177547.0,ABN,185.0,228.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,1,0,1,0,0,0,0,1,0,0
pF3659oilW4,2023-03-26,-0.9836506247520448,2739.0,TV9,324.0,5.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,1,0,0,0,0,1,0,0
LR9Ey5WP3go,2023-03-26,-0.999138116836548,29979.0,ABN,165.0,76.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,1,0,0
TFld2BhpKy8,2023-03-26,-0.9902490973472596,81574.0,TV9,193.0,246.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,1,0,0,0
dVdxiejuJFY,2023-03-26,-0.9985750913619996,12509.0,ABN,310.0,51.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
yOjtWfgw70A,2023-03-26,-0.995031476020813,2635.0,TV9,256.0,8.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,1,0,0,0,0,0,0
x1i10GznEJE,2023-04-01,0.9958374500274658,4053.0,TV9,144.0,3.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,1,1,0,0,1,1,0,0,0,0,1,1
C-ju_Oi_y3E,2023-04-02,-0.9937924742698668,2351.0,TV9,221.0,3.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,1,0,0,0,0,0,0,0,1,0,0
