ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,ap assembly session today,high court,alliance,suprem court,ap development,High Court
ZAQkSOR9ExM,2023-03-08,0.9840490818023682,1135.0,TV9,301.0,1.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
tX1DFJslRu4,2023-03-10,0.987046480178833,2295.0,TV9,301.0,1.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,1,0,0,1,0,0,0,1,0,0
sZE5JFC5qKg,2023-03-11,-0.6549779176712036,4410.0,TV9,327.0,3.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
bnuKiwoe0j0,2023-03-11,-0.9981436729431152,10860.0,TV9,249.0,0.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,1,0,0
KJ0Xegi1clI,2023-03-16,-0.9900376796722412,8642.0,TV9,283.0,5.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
qyLJc37ok94,2023-03-16,-0.990875482559204,3044.0,TV9,314.0,1.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,1,0,0
oPwEkjizuQI,2023-03-16,-0.9975345134735109,4220.0,TV9,245.0,0.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,1,0,0
w6Pv9ceB67Q,2023-03-20,0.9885795712471008,3400.0,TV9,237.0,2.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,1,1,0,0
jH1_t0n0mkM,2023-03-20,-0.9988393187522888,2761.0,TV9,229.0,0.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
S_IVIu4kFY4,2023-03-23,-0.9970242381095886,2952.0,TV9,347.0,1.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
k6TV9NcfUC4,2023-03-23,0.998505473136902,7658.0,TV9,269.0,22.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
fDQyLzLR0Zg,2023-03-31,-0.9985828399658204,2007.0,TV9,208.0,8.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,1,0,0,0,0,0,0
7SXq74_CfLQ,2023-03-31,-0.9925029277801514,5965.0,Sakshi,178.0,43.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,1,0,0,1,1,0,0,0,0,1,1,0
GlikUz_EC88,2023-03-31,-0.9983447790145874,2603.0,TV9,233.0,10.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,1,0,1,0,0,1,1,0
5PsM-AG6wB8,2023-04-01,-0.9992477893829346,1209.0,TV9,162.0,7.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,1,0,0,0,0,0,0,0,0,0
5HjGMVXHgAc,2023-04-05,-0.9988960027694702,1350.0,TV9,328.0,0.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
