ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Kuppam,janasena party,ap employees,Sajjala ,ap assembly session today,high court,alliance,Peddireddy ,polavaram,visakha,byreddy siddharth reddy,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri,Anam Ramanarayana Reddy
4G2EhzSV8rg,2022-01-18,-0.9974626302719116,3264.0,Sakshi,126.0,8.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lXD-7Pqpqns,2022-02-02,-0.9994902610778807,8137.0,Sakshi,225.0,60.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4rGAusTR1Ew,2022-02-02,-0.9980323910713196,9067.0,Sakshi,547.0,108.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-FYzI0LouIw,2022-02-06,-0.9949937462806702,3143.0,Sakshi,386.0,33.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDwzsVr4Nug,2022-02-07,-0.9993498921394348,10874.0,Sakshi,264.0,18.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
e1IY1r2C1jc,2022-02-07,0.9986721277236938,10829.0,Sakshi,349.0,39.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
UamNFa4UxaA,2022-02-07,0.9895917773246764,7748.0,Sakshi,534.0,34.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P6qp1ZIkqYM,2022-02-15,0.9782343506813048,16831.0,Sakshi,572.0,167.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BeeEpe7QMmM,2022-02-18,0.9857893586158752,105166.0,Sakshi,198.0,284.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y5qsix-4_74,2022-02-18,0.9631116390228271,20078.0,Sakshi,120.0,59.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11YDaiRlgo0,2022-02-20,-0.995184361934662,4285.0,Sakshi,300.0,14.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sdufPIKdDR8,2022-02-21,0.996485471725464,4692.0,Sakshi,93.0,5.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wrf99guGAHI,2022-02-21,0.9963575005531312,23279.0,Sakshi,593.0,2.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiv3afch4jk,2022-02-21,0.99855774641037,12791.0,Sakshi,170.0,13.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38ufnk45Omg,2022-03-01,0.9975848197937012,8059.0,Sakshi,368.0,71.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GcbpjPp-Uak,2022-03-04,0.9959529638290404,6507.0,Sakshi,551.0,86.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Qzktor-v-ow,2022-03-04,-0.9969158172607422,5975.0,Sakshi,319.0,85.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
sCq9HUNXviA,2022-03-05,-0.9578039646148682,28362.0,Sakshi,533.0,108.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HNkkvHBeVM8,2022-03-15,0.9985707998275756,2592.0,Sakshi,311.0,5.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
qi48CJOcb_I,2022-03-29,0.998181939125061,6370.0,Sakshi,214.0,25.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XSvnkkPrY8w,2022-03-31,-0.996023178100586,4081.0,Sakshi,526.0,78.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o2orXjEPTVE,2022-04-04,0.9986820816993712,6871.0,Sakshi,217.0,29.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
qz8y0ouLnRE,2022-04-05,0.9967049956321716,79142.0,Sakshi,242.0,75.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1
JHmHqWOIMSE,2022-04-09,0.9917497038841248,12646.0,Sakshi,247.0,12.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NkBp1C1Na_4,2022-04-18,0.9986741542816162,10066.0,Sakshi,223.0,7.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
AUFxLqJGCz4,2022-04-21,0.9981834292411804,8637.0,Sakshi,250.0,41.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9YEXsELtz0k,2022-04-21,-0.9982851147651672,6600.0,Sakshi,250.0,43.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
oQXtCfXgyCM,2022-04-29,-0.997288703918457,122920.0,Sakshi,288.0,425.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
C_RAjB0imUc,2022-05-02,0.9980564713478088,37362.0,Sakshi,402.0,52.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W0_GJvOm0fg,2022-05-09,0.9963011741638184,9590.0,Sakshi,254.0,52.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1
TxHILocuzPs,2022-05-09,0.9837579131126404,20743.0,Sakshi,396.0,97.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DHpYsMza30w,2022-05-09,0.9925011992454528,31734.0,Sakshi,397.0,106.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
_sw0uyclvOc,2022-06-07,0.9826679825782776,13965.0,Sakshi,324.0,69.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
sUY3abHq5Qk,2022-06-11,-0.8947923183441162,9789.0,Sakshi,275.0,45.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
oAj9Dul4lZA,2022-06-11,0.9913747906684875,16518.0,Sakshi,431.0,28.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sqxp__ECAFw,2022-06-17,0.9923526644706726,26438.0,Sakshi,244.0,25.0,rajempet_l.png,P.V. Midhun Reddy,YSRCP,Rajampet,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
