ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,alliance,visakha,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri
Hr_trQmkb-I,2023-01-29,0.9987610578536988,515.0,TV9,228.0,1.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
MYibAoPvYWY,2023-01-30,-0.9994828701019288,1569.0,TV5,222.0,2.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1
wTM38AZunU8,2023-01-31,-0.9931360483169556,82104.0,TV5,277.0,61.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SWPQTJb-lDA,2023-01-31,-0.9925771355628968,1197.0,TV5,525.0,1.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7qJYp-J9Aj4,2023-01-31,-0.997849464416504,1725.0,TV5,435.0,5.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nDfsq6UUwhw,2023-01-31,-0.9883038997650146,23149.0,TV5,370.0,30.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
F4sKuiRDn1M,2023-01-31,-0.998971700668335,1168.0,TV5,295.0,3.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0
i2CHYinkFBc,2023-02-04,-0.9994457364082336,11305.0,ABN,228.0,7.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
phto_kPrhOY,2023-02-04,0.9956538677215576,140807.0,Sakshi,545.0,139.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HgdFvMJHltc,2023-02-05,-0.9993579983711244,3945.0,TV9,231.0,3.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
