ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,nara lokesh,AP ,yuvagalam,amaravati,tdp pattabhi,ap employees,ap assembly session today,alliance,Peddireddy ,visakha
9pDqE93R2nk,2022-10-24,0.9962521195411682,2522.0,ABN,246.0,6.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
F7CuQajObkU,2022-10-26,-0.9980837106704712,19779.0,TV5,207.0,13.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
hshXJTub0fM,2022-10-27,-0.999326229095459,985.0,TV5,148.0,2.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hdAj0n6omUA,2022-10-28,0.9944401979446412,1010.0,TV5,195.0,2.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1
HSLrQvLpD7E,2022-10-31,-0.9892886877059937,1959.0,TV5,293.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
j_Mv8eHcsww,2022-10-31,-0.9980637431144714,1241.0,ABN,86.0,1.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
iBpMlxFpFPw,2022-10-31,0.8427220582962036,4240.0,TV5,187.0,1.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
uMl9jiOyWoo,2022-11-02,-0.9986212253570556,5839.0,ABN,357.0,9.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TMmVakVVPno,2022-11-07,0.9985559582710266,2029.0,Sakshi,445.0,2.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
gxFU48Vo6Z4,2022-11-08,-0.9982750415802002,10630.0,Sakshi,340.0,18.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
d5hyHCZVUys,2022-11-08,0.9964998960494996,39819.0,ABN,450.0,68.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLZvncvtQRY,2022-11-08,-0.9986246824264526,400.0,ABN,279.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
tkb1W73y-F8,2022-11-09,0.9963424801826476,1659.0,Sakshi,494.0,2.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
dDQ0D-s8KOQ,2022-11-10,0.9986788630485536,12508.0,TV5,372.0,6.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
7VjJXjTXsxs,2022-11-10,0.9900049567222596,8242.0,TV5,313.0,25.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
g1zwI0p2tok,2022-11-10,0.9974427223205566,9127.0,TV5,313.0,19.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-qOeHMOyfVE,2022-11-11,-0.9902496933937072,4220.0,TV5,97.0,3.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
T3aYK7qUa-A,2022-11-11,0.997295081615448,2002.0,Sakshi,341.0,6.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
jPqsqB_zxM0,2022-11-15,0.996581733226776,3046.0,ABN,292.0,1.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0
P-ie12RohQc,2022-11-17,0.9908607006072998,35484.0,ABN,490.0,54.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P8MErEFVlfg,2022-11-19,0.9986120462417604,668.0,TV9,432.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9f5owrj915w,2022-11-19,0.9982323050498962,299.0,TV9,292.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
