ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Kuppam,janasena party,tdp pattabhi,ap employees,Sajjala ,ap assembly session today,Atchannaidu,high court,gorantla ,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy,Kakani,vijayasai reddy,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,Pension,vangaveeti radha,suprem court,ap development,Kethireddy Venkatarami Reddy,tadipatri,Anam Ramanarayana Reddy,Corona,janasena alliance with tdp,gudivada ,Kodali Nani ,varahi ,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
H2jczpDPVMM,2022-05-31,0.9985914826393129,99749.0,Sakshi,73.0,134.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fn72pW9ziIc,2022-06-13,0.9948531985282898,136862.0,Sakshi,298.0,159.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
4sDdzdvrD7I,2022-06-19,-0.9924490451812744,139703.0,Sakshi,461.0,429.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
gYbn4YOn-W0,2022-06-23,-0.9795072674751282,51597.0,Sakshi,308.0,21.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
BMLfvsA-mc4,2022-06-26,0.9923225045204164,13203.0,Sakshi,282.0,25.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tqqAqcQ_fVw,2022-06-28,0.997386872768402,2333.0,Sakshi,383.0,0.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
u1RkHYXS4qA,2022-06-29,0.9894040822982788,989.0,Sakshi,510.0,0.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
ZmnISd0YpqY,2022-06-30,0.9983720183372498,86693.0,Sakshi,459.0,218.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S2v4Km6lBHI,2022-07-14,0.997380793094635,1730.0,Sakshi,234.0,0.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
vS3MD8g28rg,2022-07-21,0.9896730184555054,3435.0,Sakshi,225.0,3.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
