ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Kuppam,janasena party,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,alliance,Peddireddy ,polavaram,visakha,byreddy siddharth reddy,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,suprem court,ap development,tadipatri,Anam Ramanarayana Reddy,gudivada ,nandigama
vMdww09qHvw,2022-08-08,0.9979845285415648,154533.0,Sakshi,597.0,603.0,srisailam.png,Silpa Chakrapani Reddy,YSRCP,Srisailam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AsHdY1YjLSE,2022-08-12,-0.9820424914360046,117588.0,Sakshi,367.0,290.0,srisailam.png,Silpa Chakrapani Reddy,YSRCP,Srisailam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fg4VS0qjN1g,2022-08-17,-0.9660922288894652,3166.0,Sakshi,366.0,8.0,srisailam.png,Silpa Chakrapani Reddy,YSRCP,Srisailam,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
e7vCLFU8c3c,2022-08-27,-0.9954922199249268,75731.0,TV5,216.0,296.0,srisailam.png,Silpa Chakrapani Reddy,YSRCP,Srisailam,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4kS4uC7JemI,2022-08-28,-0.9914013743400574,62391.0,TV5,435.0,50.0,srisailam.png,Silpa Chakrapani Reddy,YSRCP,Srisailam,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wrWpWvTmgLY,2022-08-29,-0.9994242191314696,3379.0,TV5,316.0,11.0,srisailam.png,Silpa Chakrapani Reddy,YSRCP,Srisailam,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
zzIGymDuvrk,2022-08-30,-0.9889609217643738,15619.0,Sakshi,585.0,16.0,srisailam.png,Silpa Chakrapani Reddy,YSRCP,Srisailam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m-CP6oaKYu0,2022-08-30,-0.995439887046814,9579.0,Sakshi,157.0,32.0,srisailam.png,Silpa Chakrapani Reddy,YSRCP,Srisailam,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tDWFO-vENrM,2022-09-01,0.9928606152534484,1798.0,TV5,360.0,3.0,srisailam.png,Silpa Chakrapani Reddy,YSRCP,Srisailam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zB3vQ3kOa8g,2022-09-02,-0.9976218342781068,165076.0,TV5,303.0,104.0,srisailam.png,Silpa Chakrapani Reddy,YSRCP,Srisailam,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0
qZAO_c_XtEc,2022-09-13,0.9884890913963318,1869.0,Sakshi,498.0,10.0,srisailam.png,Silpa Chakrapani Reddy,YSRCP,Srisailam,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_Yb8H3OAlM,2022-09-13,-0.965544819831848,8544.0,TV5,312.0,7.0,srisailam.png,Silpa Chakrapani Reddy,YSRCP,Srisailam,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3-QjAnr8gOk,2022-09-13,0.9823284149169922,4908.0,Sakshi,272.0,31.0,srisailam.png,Silpa Chakrapani Reddy,YSRCP,Srisailam,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
