ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,ambati rambabu,Gadapa Gadapaku ,ap employees,ap assembly session today,alliance,polavaram,visakha,nellore ,srikakulam,yuvashakti,tadepalli,suprem court,ap development,tadipatri,nandigama
CfZtk81Ag2k,2022-11-16,0.9974679946899414,9618.0,Sakshi,107.0,4.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yzNdzam-_eg,2022-11-21,-0.9978036284446716,2212.0,TV5,254.0,1.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1
i5O880UwIlI,2022-11-22,-0.9976910352706908,899.0,TV5,257.0,2.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o4Ht8Q6sLjY,2022-11-23,0.9982870221138,11900.0,TV5,255.0,9.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Vmp9bwajKM,2022-11-26,-0.9991025924682616,4120.0,TV5,330.0,5.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
OIRym4c-_Bc,2022-11-27,-0.9971941709518432,2690.0,ABN,394.0,15.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bbw5X94hB6U,2022-11-29,0.9985670447349548,2933.0,Sakshi,282.0,3.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
9Obaz4YbIyM,2022-11-29,-0.6240699291229248,1288.0,TV9,460.0,1.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bdYHBdrvuvU,2022-12-01,-0.980947732925415,1792.0,TV9,264.0,1.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CmsckLoXrF8,2022-12-02,-0.9982209801673888,1949.0,Sakshi,222.0,0.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
