ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Gadapa Gadapaku ,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,ap assembly session today,Atchannaidu,high court,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy
gYbn4YOn-W0,2022-06-23,-0.9795072674751282,51597.0,Sakshi,308.0,21.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
tI3zxbhNvNo,2022-06-27,0.9985972046852112,157440.0,Sakshi,400.0,765.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eOrrIL8aO-w,2022-06-29,0.9830370545387268,1692.0,Sakshi,315.0,0.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0OXzgJm_AMM,2022-07-01,0.9953733086586,1681.0,Sakshi,584.0,0.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CWJMyvJNEdQ,2022-07-07,0.9971446394920348,7351.0,Sakshi,279.0,25.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jek4Z6g6iTE,2022-07-08,0.9949803948402404,2538.0,Sakshi,336.0,7.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g7GDfpIFewU,2022-07-09,0.9987754225730896,1578.0,Sakshi,220.0,4.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aQPvOvI_yJE,2022-07-09,0.9980168342590332,58368.0,Sakshi,594.0,27.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TeAI0gyF13w,2022-07-12,0.996435523033142,618028.0,Sakshi,435.0,168.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8g1nNrhPOTs,2022-07-13,0.9977977275848388,4437.0,Sakshi,478.0,4.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dABtdGKAYRQ,2022-07-21,0.9945202469825744,3816.0,Sakshi,538.0,6.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SjUUQpuuBRk,2022-07-21,-0.9989851117134094,3111.0,Sakshi,342.0,5.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zfDdDnoE5u0,2022-07-21,-0.993239164352417,1274.0,Sakshi,589.0,2.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dT8a6lWthRs,2022-07-21,0.9950503706932068,3765.0,Sakshi,560.0,1.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_9NqQzp1xRE,2022-07-23,0.9942938685417176,70123.0,Sakshi,482.0,55.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gceHQSUetxw,2022-07-23,0.9985484480857848,30523.0,Sakshi,400.0,59.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
JVzKDJ-NWx4,2022-07-26,-0.9932953715324402,4447.0,Sakshi,173.0,7.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nK1ZvY0b_dc,2022-07-29,0.9848862290382384,9413.0,Sakshi,246.0,13.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fbt-WaKozsw,2022-07-31,0.9921393990516664,19483.0,Sakshi,277.0,27.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RyOmqN6YgtA,2022-08-04,0.9972115159034728,3422.0,Sakshi,148.0,18.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
