ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,ap employees,Sajjala ,ap assembly session today,alliance,Peddireddy ,polavaram,visakha,byreddy siddharth reddy
IRT2KavEML0,2022-10-26,-0.9973459243774414,381.0,ABN,74.0,1.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDN4L57fPwg,2022-10-26,0.995512068271637,612.0,ABN,268.0,0.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0uCHrvo0C5k,2022-10-26,-0.9554250240325928,1203.0,TV5,265.0,2.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6beKKiZMUYs,2022-10-27,-0.95746111869812,824.0,ABN,400.0,0.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mg8H_NpfVWU,2022-10-29,0.994292378425598,41407.0,TV5,210.0,45.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4wLUr5L1BPg,2022-10-29,-0.99442058801651,2425.0,Sakshi,287.0,6.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QG1GIRwCx8U,2022-10-31,0.9942763447761536,3587.0,TV5,505.0,12.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jTXprs_20eA,2022-11-01,0.996633231639862,2767.0,Sakshi,350.0,5.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toju0pQzR_c,2022-11-02,0.9977251887321472,87287.0,TV5,460.0,74.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hAESTLofD3c,2022-11-02,-0.9986988306045532,1518.0,TV5,293.0,2.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBto9i3Q4Y0,2022-11-05,-0.99842631816864,21069.0,ABN,124.0,29.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
qKgcqphvidQ,2022-11-05,0.9883761405944824,4183.0,Sakshi,177.0,4.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rl0kwAm5ZIE,2022-11-07,-0.9928845763206482,24765.0,Sakshi,526.0,127.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
l-UfszkBoI0,2022-11-07,0.9968344569206238,26923.0,TV5,511.0,21.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ki7ccveLJWE,2022-11-08,-0.989785134792328,1082.0,Sakshi,146.0,1.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5vXpkUh26c,2022-11-08,-0.9986031651496888,2793.0,Sakshi,146.0,6.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ovhpyYbeRUk,2022-11-08,0.9973050355911256,1246.0,Sakshi,247.0,4.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MKSBayJHHkA,2022-11-14,0.998387098312378,1888.0,ABN,370.0,3.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZdaSJYscFkU,2022-11-15,0.99181467294693,2354.0,Sakshi,157.0,12.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W0hBXptFOWY,2022-11-17,0.988111972808838,3369.0,TV9,124.0,5.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
