ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,AP ,yuvagalam,YS Viveka Case,ap employees,high court,alliance,visakha,byreddy siddharth reddy,vijayasai reddy,roja,nellore ,yuvashakti,tadepalli,ys vijayamma,suprem court,Devineni Avinash,ap development,tadipatri,Anam Ramanarayana Reddy,High Court
hSMqG5FM2p0,2023-02-24,0.8670706748962402,5737.0,ABN,297.0,14.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
keYlHqFsbNQ,2023-02-24,-0.9981908202171326,13269.0,TV9,229.0,17.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
svQgW4DbmS8,2023-02-24,0.968288004398346,10198.0,TV5,350.0,46.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
5vDCPSiBFbY,2023-02-24,-0.9778854250907898,6047.0,Sakshi,96.0,15.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0
2dKWTBqPBKY,2023-03-01,-0.9930737018585204,1775.0,TV5,64.0,3.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
XAWQKAXRUSA,2023-03-06,-0.9859163165092468,4974.0,ABN,147.0,4.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0
X__nRubcJKg,2023-03-09,0.9838603734970092,2450.0,TV9,147.0,5.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9b7JOzPsQn0,2023-03-09,0.988987386226654,60712.0,ABN,335.0,27.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M_aPJwlCY_8,2023-03-10,-0.9989468455314636,18950.0,ABN,120.0,52.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HA1UBj_Cxuo,2023-03-10,-0.9979093670845032,32150.0,TV9,249.0,38.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
Ug3pBZQpzmc,2023-03-10,-0.9970360994338988,3053.0,TV9,292.0,7.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCNNeXxhaBk,2023-03-10,-0.9932303428649902,14269.0,ABN,155.0,20.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0
0lpKqNpGAYo,2023-03-10,-0.996423065662384,7384.0,Sakshi,81.0,39.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
B0q24aPSwks,2023-03-10,-0.9909652471542358,4630.0,TV9,221.0,12.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1
96d02GW_oWo,2023-03-10,-0.9935212731361388,3200.0,TV9,262.0,3.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEh2x5Zv7QY,2023-03-10,0.9975556135177612,10922.0,TV5,182.0,32.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
pzbYp76EXmU,2023-03-10,-0.9984858632087708,5774.0,TV9,195.0,6.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
bcWJu_zbMiY,2023-03-10,-0.9980230331420898,11893.0,TV5,116.0,47.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
nXORfPUIZwU,2023-03-10,-0.9983898401260376,12489.0,ABN,140.0,33.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0
iyIEHL3ihiM,2023-03-10,-0.9977062940597534,2261.0,TV9,262.0,3.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
06RzZMpkvro,2023-03-10,-0.9989726543426514,6096.0,TV5,167.0,13.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
