ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Gadapa Gadapaku ,Kuppam,janasena party,Ramoji Rao,ap employees,ap assembly session today,jr ntr,Atchannaidu,alliance,Peddireddy ,vangalapudi anitha,polavaram,visakha,vijayasai reddy,lakshmi parvathi,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,ys vijayamma,Pension,vangaveeti radha,suprem court,ap development,balineni srinivasa reddy,tadipatri,varahi ,nellore mekapati,maa nammakam nuvve jagan,nandigama
pv5Q-9rByy4,2022-05-12,0.9970433115959167,14835.0,Sakshi,263.0,47.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
LqdCrndMO94,2022-05-14,0.9967275857925416,71135.0,Sakshi,114.0,29.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9PP5-R9nspA,2022-05-17,0.9920907020568848,23792.0,Sakshi,136.0,190.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
upgKlnqVRbs,2022-05-21,0.99733304977417,29199.0,Sakshi,377.0,27.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inZFNu1JZuA,2022-05-21,0.9986411929130554,189508.0,Sakshi,453.0,117.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VjVkcPqazhw,2022-05-24,-0.9958863854408264,19284.0,Sakshi,159.0,104.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pNcHpCQwJi4,2022-05-25,-0.8726634383201599,15964.0,Sakshi,185.0,77.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
e_9I8QA2qr8,2022-05-28,-0.990443766117096,191150.0,Sakshi,245.0,316.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VNR7ap1M_1A,2022-05-29,0.9935950636863708,178213.0,Sakshi,312.0,367.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1
eGFpyw0f2z4,2022-06-03,-0.9987834095954896,287347.0,Sakshi,183.0,294.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVYHnTJRwTk,2022-06-07,0.995080828666687,125985.0,Sakshi,265.0,260.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IdXIC55F3pc,2022-06-08,0.9987260699272156,11776.0,Sakshi,304.0,41.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
SjsgmKmUomE,2022-06-08,0.9966617822647096,16423.0,Sakshi,359.0,26.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sqxp__ECAFw,2022-06-17,0.9923526644706726,26438.0,Sakshi,244.0,25.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
922Gv_VVLTg,2022-06-17,0.9985912442207336,104904.0,Sakshi,252.0,395.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
C7Ck9o2_kOc,2022-06-21,-0.9960914254188538,72044.0,Sakshi,304.0,505.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GQ8FuAP70RQ,2022-06-22,0.998396933078766,20686.0,Sakshi,214.0,66.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4AJzF2oD6r0,2022-06-25,0.9971297383308412,893.0,Sakshi,439.0,0.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
