ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,ap assembly session today,high court,alliance,vangalapudi anitha,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy, Botsa ,vijayasai reddy,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,suprem court,tdp leaders arrest,ap development,tadipatri,Anam Ramanarayana Reddy,janasena alliance with tdp,maa nammakam nuvve jagan,nandigama,High Court
5XErt-czdIQ,2022-08-23,-0.9301303029060364,35336.0,TV5,120.0,76.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0
RC_iCbxZ_I8,2022-08-24,-0.9970345497131348,21879.0,TV5,110.0,38.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
3bpK6Ci0zFw,2022-08-26,0.9983410835266112,7111.0,Sakshi,324.0,16.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
LwLSi-tO2CE,2022-08-26,-0.9936495423316956,5476.0,TV5,528.0,13.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l1MvVQQKBDw,2022-08-28,0.9956230521202089,53165.0,TV5,240.0,106.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
ACEw2ZjJknE,2022-08-29,-0.5417538285255432,16641.0,TV5,115.0,54.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EaRrlRt-GOg,2022-08-29,0.9958784580230712,69830.0,TV5,450.0,88.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GVPQW6BbbQI,2022-08-29,0.9961817264556884,75934.0,TV5,510.0,220.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XBt8PHX6SFY,2022-08-30,-0.9967865943908693,3087.0,TV5,115.0,3.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0
r2rDJuTniCw,2022-09-01,-0.9931921362876892,12874.0,TV5,125.0,50.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
oF--CJ6kaso,2022-09-01,0.9986245632171632,67734.0,TV5,565.0,147.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
klKmB_MQp1Q,2022-09-04,0.8408351540565491,8180.0,TV5,185.0,26.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
