ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,ap employees,Sajjala ,visakha,yuvashakti,tadepalli,suprem court,ap development,tadipatri
NRS0cYBFWDY,2023-01-24,-0.996135115623474,1987.0,TV9,320.0,7.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ha4vhfP9bkY,2023-01-25,-0.9982985854148864,2947.0,TV9,321.0,8.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iCB_U7QMDTU,2023-01-26,0.9944376945495604,8532.0,Sakshi,502.0,21.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
h8olF20laWo,2023-01-29,-0.9905338287353516,483881.0,TV5,269.0,127.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U1mPKhIHjJk,2023-02-01,-0.9989338517189026,18778.0,ABN,362.0,25.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sD8_y68T5tY,2023-02-01,-0.983382523059845,32635.0,ABN,373.0,9.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d1EvgpiHhTs,2023-02-03,-0.9871103763580322,34037.0,TV9,253.0,34.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
VwzcouVCyvY,2023-02-03,0.9939693212509156,9291.0,TV9,317.0,21.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d75poYmaOAU,2023-02-03,0.996727466583252,2676.0,TV9,302.0,4.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JtLSLU8YBU8,2023-02-06,-0.9970567226409912,1060.0,TV9,175.0,0.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1JybErB1oM,2023-02-10,0.9950016140937804,13012.0,Sakshi,574.0,29.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
n2_bih7dJs0,2023-02-15,-0.9911275506019592,938.0,TV9,545.0,5.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
UJ65rYWaPpo,2023-02-16,-0.9974347949028016,947.0,TV9,321.0,4.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
vovZs7ltfeM,2023-02-16,0.9940586090087892,882.0,ABN,395.0,3.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tG7Q1QhSIlg,2023-02-17,0.9981330037117004,2410.0,TV9,410.0,18.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
_3T6-wmyup4,2023-02-17,0.9955471754074096,1802.0,ABN,243.0,3.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3h5Ok3ZjTjg,2023-02-17,-0.9861739873886108,670.0,ABN,312.0,0.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2hApWFCrwrU,2023-02-17,-0.9969496130943298,888.0,ABN,331.0,0.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
VXs8WaTUfE8,2023-02-17,-0.9989044666290284,887.0,ABN,220.0,0.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
r2j5QSbX-FA,2023-02-17,-0.9981274008750916,315.0,ABN,372.0,0.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARZU5F46oOE,2023-02-20,0.9956899285316468,2515.0,Sakshi,164.0,6.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0
e_GUktXPPqc,2023-02-22,0.9944394826889038,1489.0,TV9,283.0,6.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1
D2I2Ub2FRng,2023-02-25,-0.9982656836509703,3416.0,Sakshi,199.0,3.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
