ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ap assembly session today,alliance,visakha
tsQ-YzjDVLI,2023-02-06,-0.9989014863967896,2078.0,ABN,101.0,2.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,1,0,0,0,0,0,0,0,0,0
Dqtzlm1B5KA,2023-02-07,0.998558223247528,251323.0,TV5,539.0,633.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,1,1,1,1,0,0,0,0,1,0,1,1,1
a7CUf-oXnDI,2023-02-07,0.984172821044922,2321.0,TV9,365.0,1.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
HNgw_maH1Ac,2023-02-11,-0.9981406927108764,1802.0,ABN,521.0,3.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,1,0,0,0,0,0
gCn9SsWoW9c,2023-02-11,0.997226893901825,114443.0,TV5,399.0,193.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
6oirPVIcDwA,2023-02-11,-0.9975594282150269,2188.0,TV5,80.0,1.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,1,1,1,1,1,0,0,1,1,0,0,0,0
PZuQb1iAvME,2023-02-11,-0.9983750581741332,2038.0,Sakshi,308.0,6.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,1,1,0,0,1,0,0,0,0
JtmZe9iEzj4,2023-02-12,-0.9990524649620056,1246.0,TV9,75.0,3.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,1,1,1,0,0,0,0,1,1,1,0,1,1
j-SP05boUWU,2023-02-13,-0.9563420414924622,1535.0,ABN,275.0,1.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
_3T6-wmyup4,2023-02-17,0.9955471754074096,1802.0,ABN,243.0,3.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,1,0,0,0,0,0,0,0
0Arx_VllmUY,2023-02-18,-0.9964780211448668,65131.0,Sakshi,236.0,88.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,1,0,0,0,0,0,0,0
Dk1JsAlOgIQ,2023-02-23,-0.9951177835464478,6547.0,TV9,344.0,13.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
edZGyQjLn44,2023-02-23,-0.9994743466377258,3660.0,TV9,299.0,14.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,1,0,0,0,0,0,0,0,0,0
5FXSScYqX2M,2023-02-24,0.997927188873291,1308.0,TV9,146.0,1.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,1,0,0,0,1,0
0rccX1Qcx58,2023-02-27,-0.9944487810134888,929.0,TV9,151.0,0.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
iqCkoYSmnjM,2023-03-07,0.9985311031341552,6790.0,TV9,210.0,2.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
sXssis84zWI,2023-03-09,-0.9742918610572816,849.0,ABN,257.0,0.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,1,0,0,0,0,0,0,0,0,1,0
vmUoPzU7SYo,2023-03-09,-0.996691107749939,2959.0,TV9,158.0,0.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
TIRPPWBSu6g,2023-03-18,-0.9979023933410645,59735.0,TV9,217.0,87.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,1,1,1,0,0,1,0,0,1,0,0,1,0
3sGdkUxlWKk,2023-03-19,0.9980844259262084,23128.0,TV9,147.0,39.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
rfuhFOhSxZA,2023-03-19,-0.9861763119697572,3372.0,TV9,308.0,4.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,1,0,1,0,0,0,0,0
f06Fg0zU92U,2023-03-26,0.9981923699378968,3273.0,TV9,110.0,3.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
rOeWMRH16pA,2023-04-03,0.9918253421783448,10442.0,Sakshi,110.0,10.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,1,0,0,0,0,0,0,0,0,0,0,0
tKy2eAZPpHQ,2023-04-05,-0.9925912618637084,45843.0,Sakshi,304.0,33.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,1,1,0,0,0,0,0,0,0
xUIUNiCX044,2023-04-05,-0.9988849759101868,290.0,TV9,187.0,0.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
a78Jv4w4Apw,2023-04-12,0.9834749698638916,4156.0,Sakshi,213.0,6.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,1,0,0,0,0,0,0,0
DiLFK6fKong,2023-04-22,0.9980964064598083,23665.0,Sakshi,42897.0,7.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,1,0,0,1,0,0,0,0,0,0,0
