ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,alliance,polavaram,visakha,yuvashakti,suprem court,ap development,Kethireddy Venkatarami Reddy,tadipatri
vZVz75EP6nU,2022-12-28,0.9983579516410828,30566.0,Sakshi,481.0,297.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
kEZGqf2sLj8,2022-12-28,-0.9977400302886964,29562.0,ABN,532.0,31.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed-Bpt5CjI0,2022-12-29,-0.9965124726295472,845.0,TV9,124.0,1.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P7ECUln4ic0,2022-12-29,-0.997460961341858,5339.0,TV9,422.0,14.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U1vtjBWL_W4,2022-12-29,-0.9976153373718262,2423.0,TV9,229.0,8.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aF1dDx4iYq4,2023-01-01,0.9957934617996216,2636.0,TV9,284.0,5.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
GgxjFvEu3-4,2023-01-02,-0.9948298335075378,6620.0,ABN,440.0,32.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUP4AOkaeF0,2023-01-02,-0.9907429814338684,35733.0,ABN,485.0,84.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jmjrC6q4ZhU,2023-01-02,-0.9986238479614258,3284.0,ABN,335.0,7.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7tqV_juTF3w,2023-01-03,-0.9949036836624146,2579.0,TV9,327.0,9.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
