ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ap employees,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy
jpBjnymn8YU,2022-12-24,-0.9974258542060852,7574.0,TV9,382.0,4.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J2xvdJgz8Hs,2022-12-27,0.9966418743133544,4697.0,Sakshi,362.0,4.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
uMypDxkEshQ,2022-12-27,-0.9959365129470824,9836.0,TV9,236.0,18.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
pXPS7c9_ipg,2022-12-27,-0.9971119165420532,1441.0,ABN,450.0,11.0,guntur_l.png,Galla Jayadev,TDP,Guntur,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0
5cEzOFGG4H4,2022-12-29,-0.8947004079818726,6490.0,ABN,220.0,3.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0
Aklc69rQyKY,2022-12-29,-0.9988914132118224,3955.0,ABN,350.0,3.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0
WsQTiAfZcSg,2022-12-29,-0.9992437362670898,1415.0,TV9,58.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
y2q5oOcB1qI,2022-12-30,0.9986306428909302,350.0,TV9,31.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mMSpW8O5z0A,2022-12-31,-0.9993172883987428,3102.0,TV9,152.0,2.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2LNzgSz2Ro,2023-01-01,-0.9979442954063416,6555.0,TV5,176.0,18.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
rEz8kk9bD5A,2023-01-02,0.9983910322189332,3075.0,TV5,251.0,7.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eD76pKj4MT8,2023-01-03,-0.9975647926330566,18601.0,ABN,321.0,76.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-niomiKaDaw,2023-01-05,-0.9865256547927856,24941.0,TV9,260.0,11.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
aX_MwCDvVPo,2023-01-05,-0.9985288381576538,1106.0,TV9,308.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
XyKqlB7Xl3g,2023-01-06,-0.993712604045868,12633.0,ABN,40.0,4.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5gLUNwYNOtk,2023-01-06,0.9959909319877625,83028.0,TV5,585.0,64.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZWm2LBVo0R4,2023-01-07,-0.9971163272857666,6142.0,TV5,260.0,3.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XYBHV09Rctg,2023-01-09,-0.997780978679657,603.0,TV5,259.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
jduWpIGH3iM,2023-01-11,0.9958416819572448,3512.0,TV9,384.0,6.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U5vP2Z45qIY,2023-01-12,0.9985337257385254,251964.0,ABN,450.0,172.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hAkNtre6XvU,2023-01-12,-0.9953626394271852,1855.0,TV5,222.0,3.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yJcTQgC4C_U,2023-01-13,0.9951100945472716,238905.0,ABN,287.0,307.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8mz4KHjVvkI,2023-01-13,0.989058792591095,19513.0,ABN,34.0,8.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
