ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,Sajjala ,high court,alliance,yuvashakti,suprem court,ap development,tadipatri,High Court
znvNZ1tmR40,2022-11-26,0.9934695959091188,1414.0,TV9,48.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_iWwSvGEUWA,2022-11-28,0.9979515671730042,1457.0,TV9,172.0,4.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
MZsCpNgyAwY,2022-11-28,0.9911664128303528,5769.0,TV9,428.0,13.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4WQ5zh8vc3A,2022-12-03,-0.998421311378479,892.0,TV9,102.0,0.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
aBOIt3ya2Xk,2022-12-03,0.9982339143753052,816.0,Sakshi,175.0,4.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
kktmz7-s5ds,2022-12-05,-0.9852861166000366,481.0,TV9,129.0,4.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-aNDGhfRFe0,2022-12-11,0.9983469247817992,1204.0,Sakshi,573.0,6.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
_1iMRXr5Vtw,2022-12-11,0.9910452961921692,918.0,TV9,519.0,0.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_M-Xfc_jNe0,2022-12-12,0.9946014881134032,58393.0,TV9,102.0,43.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
WKbo_vU1SuI,2022-12-15,-0.99908185005188,1753.0,ABN,117.0,4.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
ryrbxxKVEIk,2022-12-17,0.9981797933578492,6607.0,TV9,184.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
aHfq2IKqr98,2022-12-21,0.9987367987632751,3688.0,Sakshi,91.0,9.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
ew8UIVvBGFU,2022-12-21,0.9982833862304688,2553.0,TV9,303.0,2.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0
4PEampbKVzY,2022-12-22,0.998224675655365,1050.0,Sakshi,142.0,0.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0
xNM0UiQ2NRM,2022-12-23,-0.9913181066513062,8459.0,ABN,223.0,6.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i95O89P1pgM,2022-12-25,-0.9693247079849244,1065.0,ABN,494.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aQDQ9CurPiw,2022-12-25,-0.9967427849769592,1991.0,TV9,63.0,0.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553ooRzER98,2022-12-29,-0.9592707753181458,4391.0,TV9,339.0,7.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3tlsg3KHJ6s,2023-01-03,-0.9981096982955932,2692.0,Sakshi,545.0,6.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0
LwuApqx9qzw,2023-01-06,-0.9990059733390808,3638.0,TV9,192.0,7.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2p3tZYXzB7U,2023-01-09,-0.9984322190284728,4914.0,TV9,298.0,13.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
jInP0Psm8pQ,2023-01-10,0.9966602325439452,1217.0,ABN,272.0,0.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8K1luX2ODaU,2023-01-11,0.9928802847862244,12053.0,TV5,440.0,18.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9h-SY-NVjog,2023-01-12,0.9974494576454164,7609.0,TV5,305.0,21.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFoa284V1V8,2023-01-12,-0.9978947043418884,2312.0,ABN,175.0,2.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
