ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,Kuppam,janasena party,ap employees,ap assembly session today,alliance,Peddireddy ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri,gudivada ,maa nammakam nuvve jagan,nandigama
k_Mxb95f7f4,2022-03-21,-0.9926097989082336,5237.0,Sakshi,83.0,10.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
u-HZFZP3mLs,2022-03-23,0.9958836436271667,629.0,Sakshi,558.0,2.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AobbCBx2de4,2022-03-24,0.996187388896942,2730.0,Sakshi,128.0,0.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0
ZS1S5VNKczQ,2022-03-24,0.9986200332641602,31089.0,Sakshi,148.0,160.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
MoTHz8p8ex8,2022-03-24,0.9887452721595764,237548.0,Sakshi,345.0,566.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Woqs3P7rN3c,2022-03-31,0.9918895363807678,3700.0,Sakshi,406.0,6.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nd8t42Nv0Ck,2022-04-12,0.9970189332962036,23357.0,Sakshi,194.0,16.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
KHR_i5tNDFc,2022-04-13,-0.974925696849823,343886.0,Sakshi,148.0,733.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Gl7ZG7jPQfs,2022-04-15,-0.9984194040298462,3757.0,Sakshi,325.0,3.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lDTS8nxGVzM,2022-04-16,0.9949790835380554,137414.0,Sakshi,405.0,123.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qr6oWxs4Tlk,2022-04-17,0.9969210624694824,13176.0,Sakshi,385.0,101.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t035e1MM11k,2022-04-23,0.9961000680923462,61187.0,Sakshi,70.0,52.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7k38RokdZGk,2022-04-29,-0.99931001663208,219846.0,Sakshi,235.0,411.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
D444ByLCXJI,2022-04-29,-0.9987103939056396,59496.0,Sakshi,166.0,271.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1kM4sILuV3I,2022-05-12,-0.9891533255577089,2819.0,Sakshi,169.0,16.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n2Yynydf1H8,2022-05-17,0.9975357055664062,4011.0,Sakshi,199.0,18.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
inZFNu1JZuA,2022-05-21,0.9986411929130554,189508.0,Sakshi,453.0,117.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wcHpuzYutik,2022-05-28,-0.9994530081748962,8376.0,Sakshi,275.0,18.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u8mSgqQaLWc,2022-05-31,0.997625768184662,6578.0,Sakshi,222.0,51.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
o3NOl_QPNVY,2022-05-31,0.9962009787559508,39236.0,Sakshi,424.0,71.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
u4ODEcaPInk,2022-06-15,-0.9930856227874756,12575.0,Sakshi,364.0,20.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8njhU033y2s,2022-06-26,0.9946675300598145,5131.0,Sakshi,377.0,3.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BMLfvsA-mc4,2022-06-26,0.9923225045204164,13203.0,Sakshi,282.0,25.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rwTRK8IThuA,2022-07-02,-0.9987717270851136,39360.0,Sakshi,411.0,109.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
_X-H0laKpBE,2022-07-07,0.9974702596664428,2638.0,Sakshi,249.0,3.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7ZjMX1AcqE4,2022-07-09,0.996800661087036,3958.0,Sakshi,286.0,2.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
U7T56kYgryY,2022-07-10,0.99775367975235,14970.0,Sakshi,273.0,29.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wDEVaEAowvs,2022-07-14,0.9924625158309937,3835.0,Sakshi,341.0,18.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
gwgHHEkBWOg,2022-07-14,0.9942489862442015,2942.0,Sakshi,347.0,3.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PiVhum_R0L0,2022-07-16,-0.997616171836853,4476.0,Sakshi,216.0,44.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
SjUUQpuuBRk,2022-07-21,-0.9989851117134094,3111.0,Sakshi,342.0,5.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2nIPZjWEZbY,2022-07-30,-0.9937605261802672,5545.0,Sakshi,237.0,12.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0
CNUqCbFj5ZM,2022-07-30,-0.9972687363624572,9321.0,Sakshi,263.0,19.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UOGR5GWPFLs,2022-07-30,-0.9992687106132508,7819.0,Sakshi,293.0,22.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
VuNWr2E7_2Y,2022-08-03,-0.9693865776062012,151449.0,Sakshi,429.0,140.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
w4rR-Iuaems,2022-08-05,0.9987032413482666,16349.0,Sakshi,227.0,15.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
nAhn9PhdQYo,2022-08-22,-0.9873365759849548,2797.0,Sakshi,524.0,23.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1tNuOMDxO0k,2022-08-25,-0.9916947484016418,644292.0,TV5,151.0,813.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
m3DyF214UEw,2022-09-05,0.9925744533538818,53889.0,Sakshi,529.0,42.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w3UB2cigt5k,2022-09-05,0.997483730316162,39068.0,Sakshi,341.0,43.0,anantapur_l.png,Talari Rangaiah,YSRCP,Anantapur,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
