ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,ap employees,ap assembly session today,alliance,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
stR6Sc21YtQ,2022-12-26,-0.997955322265625,3272.0,ABN,225.0,8.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dptjisSYTJk,2022-12-26,0.9824454188346864,8041.0,ABN,565.0,3.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ou751MFBMag,2022-12-29,-0.995275855064392,934.0,ABN,213.0,2.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
TY-mdzu8frY,2022-12-29,-0.998172640800476,1063.0,ABN,258.0,0.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
W2RdK8ry2EE,2022-12-29,-0.9936661124229432,2021.0,TV9,244.0,6.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
B5ythXc7zE0,2022-12-29,-0.998110055923462,249.0,ABN,195.0,0.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
waoFraT_0po,2022-12-31,0.9988299012184144,1842.0,Sakshi,335.0,5.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
eED2iJYRGzE,2023-01-03,-0.9931724667549132,20515.0,ABN,155.0,35.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1zTghaeCPvM,2023-01-03,0.9879292249679564,14380.0,ABN,364.0,20.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22lLKIshV3g,2023-01-03,0.994210720062256,11543.0,ABN,295.0,32.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
trQd7LnL994,2023-01-03,-0.9980123043060304,3493.0,ABN,235.0,3.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VMgjXZqE7XQ,2023-01-03,-0.9964338541030884,3659.0,ABN,340.0,16.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
u1vUI9OVZ4w,2023-01-03,-0.9979165196418762,36841.0,ABN,315.0,60.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cQKu3KkjlGU,2023-01-03,0.9977658987045288,49286.0,ABN,390.0,73.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQCpgNIxXrU,2023-01-03,-0.9984205961227416,4397.0,ABN,235.0,6.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
8HHRNERaBvc,2023-01-05,-0.5250025987625122,11830.0,Sakshi,380.0,50.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
rUg_xPhGlNU,2023-01-06,0.986695408821106,1112.0,TV9,250.0,0.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5OyeN-qJDlU,2023-01-07,-0.9804121255874634,3993.0,Sakshi,66.0,44.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
-37pFW32RuE,2023-01-07,-0.998258650302887,809.0,TV9,288.0,5.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Z3Wojx_1cA,2023-01-07,-0.9978151321411132,1094.0,TV9,495.0,0.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lJnpPUHFpQw,2023-01-08,0.9863176345825196,10108.0,Sakshi,310.0,94.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0
3_U4zaQZ02M,2023-01-09,-0.9994762539863586,9866.0,ABN,390.0,10.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOyPNOIVFHc,2023-01-09,0.998353123664856,4553.0,ABN,385.0,8.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qjU_Ys2hPkE,2023-01-09,-0.996368408203125,18916.0,ABN,275.0,16.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PyBP5ajuN-o,2023-01-09,-0.9645172357559204,3833.0,ABN,410.0,2.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHZEnhBR7-w,2023-01-09,-0.9994854927062988,70958.0,ABN,320.0,264.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k6gMYNKZpJY,2023-01-10,0.9871267676353456,1516.0,TV5,180.0,2.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
DDbf3xbHcug,2023-01-10,0.9975123405456544,21204.0,TV5,500.0,20.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
dqftPqWvU64,2023-01-10,0.9962642788887024,38915.0,TV5,490.0,67.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
