ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Gadapa Gadapaku ,janasena party,ap employees,Sajjala ,ap assembly session today,high court,alliance,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy,vijayasai reddy,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,Pension,vangaveeti radha,suprem court,tdp leaders arrest,ap development,Kethireddy Venkatarami Reddy,balineni srinivasa reddy,tadipatri,Anam Ramanarayana Reddy,Kodali Nani ,maa nammakam nuvve jagan,nandigama,High Court
Vj_TR-NinC4,2022-09-03,-0.9983924031257628,1057.0,TV5,220.0,3.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_VcHEeZWjM,2022-09-03,0.9972066283226012,691612.0,Sakshi,581.0,0.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
efMR2i1rgCo,2022-09-03,0.996903359889984,55916.0,Sakshi,372.0,38.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3DShTt7mxiE,2022-09-04,0.992090344429016,1266.0,TV5,475.0,3.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aqGm0OOeK6U,2022-09-06,-0.9984520673751832,902.0,TV5,309.0,2.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ztEcczxDtUQ,2022-09-08,-0.9318764209747314,6306.0,TV5,290.0,18.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FWHixM0EqKg,2022-09-08,-0.9867781400680542,2529.0,TV5,370.0,6.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eb1bppdMjzw,2022-09-08,0.9936328530311584,38888.0,TV5,360.0,54.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
eVOlIa0vyoA,2022-09-12,-0.998499035835266,37797.0,TV5,330.0,91.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
GgFFI1XrwcM,2022-09-12,0.9980351328849792,6719.0,TV5,537.0,13.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOvXSOHcc_E,2022-09-12,0.9981982111930848,201808.0,TV5,520.0,417.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K8czOJcZX_0,2022-09-15,0.993389368057251,12394.0,TV5,425.0,23.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-cyQZ_kev0Y,2022-09-15,0.9955471754074096,97213.0,TV5,465.0,202.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
