ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,janasena party,ap assembly session today,alliance,byreddy siddharth reddy,kotamreddy ,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri,Kodali Nani 
jRWAu8NaLXc,2022-12-26,-0.9970325231552124,2413.0,TV9,268.0,2.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
W9Xh16G6_e4,2022-12-26,-0.9949498176574708,2016.0,TV9,164.0,4.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kZADclAV3zw,2022-12-26,0.9972386360168456,16593.0,Sakshi,548.0,15.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S5WOmwuTIOU,2022-12-26,-0.9973294734954834,2056.0,TV9,272.0,1.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
qboKCT7hEeg,2022-12-26,-0.9986578226089478,2010.0,TV9,329.0,3.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BaJwChHagg4,2022-12-26,0.9951173067092896,1889.0,TV9,269.0,0.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ko37UEi23_U,2022-12-26,-0.998786985874176,2309.0,TV9,370.0,0.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YFIj7JKlzKQ,2022-12-26,-0.9873567819595336,2198.0,TV9,258.0,0.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
n3ScHm01mk4,2022-12-27,0.991763949394226,23821.0,ABN,435.0,30.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gzR2-hZZbsQ,2022-12-29,0.9880004525184632,1208.0,TV5,270.0,0.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
QztcZ3FwKmE,2023-01-01,0.9985520243644714,1565.0,Sakshi,238.0,0.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
xhwyBl32GKM,2023-01-01,0.995284616947174,15167.0,Sakshi,562.0,19.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
