ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,Kuppam,ap employees,ap assembly session today,alliance,vangalapudi anitha,polavaram,visakha
DiRLjASgZ2k,2022-09-20,0.9878765344619752,2458.0,TV5,315.0,3.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
q9j_sGIRcEw,2022-09-23,0.9986051917076112,61963.0,Sakshi,374.0,105.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
bP6Viwq1NmA,2022-09-23,-0.9915378093719482,8977.0,TV5,279.0,6.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jN7uYGORHcc,2022-09-25,0.997452437877655,20960.0,TV5,162.0,55.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Yrt4sBgut1g,2022-10-01,0.9974339604377748,9719.0,Sakshi,423.0,41.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uevx-yNLtA8,2022-10-01,0.9630534648895264,14859.0,Sakshi,263.0,55.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bqQFHh0p2YM,2022-10-05,0.9983526468276978,2387.0,Sakshi,73.0,4.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3eqJjBsdUtg,2022-10-05,0.9975029826164246,883.0,Sakshi,74.0,2.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBKT2W6uvFQ,2022-10-10,-0.9179264903068542,967.0,Sakshi,66.0,2.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
z5Mmckqmx2I,2022-10-10,-0.9955239295959472,11257.0,TV5,455.0,30.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
