ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,Atchannaidu,alliance,polavaram,visakha
GbvL0FEd_4s,2022-09-21,-0.9992663264274596,3022.0,Sakshi,193.0,14.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
IIPan59YkMk,2022-09-21,-0.9959283471107484,14026.0,Sakshi,332.0,23.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0
c8eppLCYfiE,2022-09-21,0.5995887517929077,2336.0,Sakshi,502.0,19.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Sda3H5Ulogk,2022-09-21,0.9957459568977356,6877.0,Sakshi,277.0,9.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
myH70hQbN1c,2022-09-25,0.9985622763633728,3046.0,TV5,75.0,0.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52gHtpCIEfk,2022-09-26,-0.9976093769073486,1739.0,TV5,252.0,6.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
GOs-MzRH4NE,2022-09-29,-0.997425377368927,6680.0,Sakshi,187.0,14.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
oerKf4REr5w,2022-09-29,0.996236264705658,169467.0,Sakshi,120.0,138.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PaptL1AETsM,2022-10-04,-0.9973080158233644,2795.0,TV5,402.0,1.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
_V1xOOg_sbw,2022-10-04,0.9900813698768616,1981.0,Sakshi,351.0,4.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hZfyVFOEdis,2022-10-08,-0.997192919254303,1088.0,Sakshi,560.0,1.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
