ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,Kuppam,janasena party,ap employees,Sajjala ,ap assembly session today,alliance,Peddireddy ,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy
id_BmOn4NIc,2022-07-21,0.9982207417488098,5785.0,Sakshi,434.0,6.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
dNiuhT4-oHA,2022-08-15,0.998556673526764,3244.0,Sakshi,331.0,2.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
e7vCLFU8c3c,2022-08-27,-0.9954922199249268,75731.0,TV5,216.0,296.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GGZirp_mJMc,2022-08-29,0.9835714101791382,1236285.0,Sakshi,318.0,868.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
toHizJv-JBY,2022-09-07,0.9933226704597472,23813.0,Sakshi,269.0,27.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F7IXUzeZA04,2022-09-08,-0.998736560344696,76673.0,Sakshi,288.0,72.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-M2q3WTeZJs,2022-09-08,-0.999459445476532,135623.0,Sakshi,277.0,282.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5CB_Js_hdLI,2022-09-09,0.9964577555656432,34592.0,Sakshi,163.0,116.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0
3-QjAnr8gOk,2022-09-13,0.9823284149169922,4908.0,Sakshi,272.0,31.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
wZaJcs_cimU,2022-09-14,-0.9949764013290404,61546.0,TV5,370.0,66.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
