ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,Sajjala ,ap assembly session today,alliance,polavaram,visakha
d8hTSkpPG68,2022-11-01,-0.9976859092712402,1668.0,Sakshi,154.0,6.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1
xxIti0vXDLg,2022-11-01,0.9954878687858582,907.0,TV5,222.0,1.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUdgJOu-eXo,2022-11-02,0.9909560084342957,1212.0,Sakshi,211.0,6.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Bc_WuzpATKg,2022-11-02,0.9877994060516356,11614.0,TV5,305.0,8.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7ghj3WYZhw,2022-11-02,0.986861526966095,2663.0,TV5,428.0,9.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qKgcqphvidQ,2022-11-05,0.9883761405944824,4183.0,Sakshi,177.0,4.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bt4bVFPylcM,2022-11-06,-0.9993624091148376,2408.0,ABN,342.0,0.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DzBdPyOczIQ,2022-11-07,0.9978623986244202,1797.0,Sakshi,270.0,3.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
7nqitmbRCWw,2022-11-14,0.9985219836235046,5791.0,TV5,210.0,11.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64h8u_1wid4,2022-11-17,-0.9990532994270324,12405.0,Sakshi,346.0,42.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
nkWGu--mcB0,2022-11-18,-0.9981620907783508,5462.0,Sakshi,195.0,21.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DS2wFzfNMcE,2022-11-18,-0.990957260131836,2395.0,TV9,156.0,0.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cd7hpke9w6Y,2022-11-22,-0.9982261061668396,3048.0,ABN,465.0,5.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
ntWqov-1rd8,2022-11-22,0.9986149072647096,1700.0,Sakshi,369.0,4.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nXbrTD2yxQ4,2022-11-22,0.9891184568405152,35251.0,Sakshi,340.0,65.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
