ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy
uaSl8fMU4eA,2022-11-06,0.9969950914382936,6264.0,ABN,280.0,39.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aAfzCyS8Yrg,2022-11-06,-0.9980762004852296,8799.0,TV5,270.0,19.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BulgTrXPl5Q,2022-11-06,-0.9950751662254332,5453.0,TV5,250.0,11.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ylx8QZCfYhM,2022-11-06,-0.9989174604415894,4747.0,TV5,325.0,11.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rJYzOFhlYYY,2022-11-06,0.9968020915985109,3819.0,ABN,523.0,3.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CmjRu46bCww,2022-11-09,-0.9989620447158812,2714.0,ABN,274.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MFeH4DhlQZs,2022-11-11,0.9949470162391664,2608.0,TV5,586.0,7.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8RhqMKJmsU4,2022-11-12,-0.9971523284912108,2857.0,TV5,275.0,4.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tOG0e3pvBYw,2022-11-12,-0.9986577033996582,811.0,TV5,157.0,1.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSVZkAMRGjs,2022-11-12,-0.998073935508728,735.0,TV5,93.0,1.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
httXbRyF3z8,2022-11-14,0.9959471821784972,4437.0,Sakshi,171.0,3.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
GY8dj7FqfPw,2022-11-14,-0.9923776388168336,55766.0,TV5,300.0,119.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
