ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,janasena party,tdp pattabhi,ap employees,Sajjala ,ap assembly session today,jr ntr,high court,alliance,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy,vijayasai reddy,roja,nellore ,srikakulam,yuvashakti,tadepalli,vangaveeti radha,suprem court,tdp leaders arrest,ap development,tadipatri,Anam Ramanarayana Reddy,janasena alliance with tdp,varahi ,maa nammakam nuvve jagan,nandigama,High Court
U5KQSDRl1PM,2022-10-18,-0.9956008195877076,60208.0,ABN,410.0,73.0,Advocate _Sravan Kumar.png,Advocate Sravan Kumar,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e9lBq-hwwjs,2022-10-18,-0.99149888753891,2226.0,ABN,260.0,0.0,Advocate _Sravan Kumar.png,Advocate Sravan Kumar,MEDIA,,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
4lhSLvFlftA,2022-10-18,0.9775060415267944,43874.0,ABN,385.0,91.0,Advocate _Sravan Kumar.png,Advocate Sravan Kumar,MEDIA,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYWOZ9oyUvw,2022-10-18,-0.9982380867004396,2239.0,ABN,235.0,8.0,Advocate _Sravan Kumar.png,Advocate Sravan Kumar,MEDIA,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
huCTBpcIEyI,2022-10-18,0.9963562488555908,8602.0,ABN,380.0,8.0,Advocate _Sravan Kumar.png,Advocate Sravan Kumar,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y8XZTnlIQ_4,2022-10-18,-0.9754904508590698,5376.0,ABN,400.0,6.0,Advocate _Sravan Kumar.png,Advocate Sravan Kumar,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4HH0oWcwVyw,2022-10-18,0.9529616832733154,123014.0,ABN,545.0,261.0,Advocate _Sravan Kumar.png,Advocate Sravan Kumar,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EdkBciZZC_o,2022-10-18,-0.9993846416473388,3191.0,ABN,145.0,17.0,Advocate _Sravan Kumar.png,Advocate Sravan Kumar,MEDIA,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4EWvoqYFUN8,2022-10-18,-0.9985449314117432,5465.0,TV5,212.0,16.0,Advocate _Sravan Kumar.png,Advocate Sravan Kumar,MEDIA,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MVoIdJ08iko,2022-10-18,0.96620774269104,36635.0,ABN,470.0,152.0,Advocate _Sravan Kumar.png,Advocate Sravan Kumar,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gwaLBgb7QFo,2022-10-19,-0.9963821172714232,42923.0,ABN,545.0,62.0,Advocate _Sravan Kumar.png,Advocate Sravan Kumar,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5yaEbPWNwsQ,2022-10-19,-0.9850881695747375,107210.0,ABN,520.0,44.0,Advocate _Sravan Kumar.png,Advocate Sravan Kumar,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
