ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,amaravati,alliance,yuvashakti,suprem court,ap development,tadipatri
w8Hwj2nczZU,2023-03-28,0.9981484413146972,343.0,TV9,273.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
l0TDoNjM-Hs,2023-03-29,-0.9739111065864564,3777.0,ABN,350.0,5.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,1,0,0,0,0,0,0,0
nfRRfQsEL0M,2023-03-29,-0.9959004521369934,2748.0,TV9,254.0,7.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,0,0,1,0,1,0,1,0,0,0,0,0
C6NbwRqs-_U,2023-03-29,0.997385323047638,80844.0,TV5,305.0,116.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,0,1,0,0,1,0,0,0,1,1,1,1
L0hAp-tic3Y,2023-03-30,-0.9941001534461976,6790.0,TV9,249.0,6.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,1,0,0,0,0,0,0
l3vJPhon7mg,2023-03-31,0.9953010082244872,6585.0,TV9,248.0,13.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,1,0,1,0,1,0,0,1,1,1,0
4EDbPMTvyb4,2023-04-13,0.9976268410682678,1257.0,ABN,332.0,1.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,0,0,0,0,1,0,0,1,0,1,0,1
uSoLCo0ZnDI,2023-04-14,0.9751264452934264,1801.0,TV9,110.0,14.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,1,0,1,1,0,1,0
gtLrcTtqnzs,2023-04-19,0.996878147125244,1546.0,TV9,218.0,1.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
9Y5UdUlFo0k,2023-04-19,0.9889369010925292,837.0,ABN,128.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,1,0,0,0,0
