ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,janasena party,ap assembly session today,alliance,visakha,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
3FXI_Lpppak,2022-10-30,-0.9971390962600708,494.0,TV5,305.0,0.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1nblW9eBNjM,2022-11-03,-0.9978964328765868,3410.0,TV5,80.0,3.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1qfS4DvKBq0,2022-11-05,-0.9980778694152832,1808.0,TV5,203.0,0.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
bwnjvq-7p3U,2022-11-15,0.9970800280570984,3913.0,ABN,55.0,0.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_sptvAZDKfY,2022-11-21,-0.99859219789505,1537.0,Sakshi,203.0,4.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1
o4Ht8Q6sLjY,2022-11-23,0.9982870221138,11900.0,TV5,255.0,9.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPCkByQVjAc,2022-11-24,0.9985846281051636,6535.0,TV5,550.0,39.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpn98Rk61K8,2022-12-01,0.9959979057312012,503.0,TV9,289.0,3.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z0bLbVbB058,2022-12-01,-0.9991257786750792,3460.0,TV9,267.0,3.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3J3-w4USOo,2022-12-01,0.957557737827301,2802.0,TV9,265.0,20.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mEDLrSNgXNU,2022-12-04,-0.990126609802246,22283.0,TV5,340.0,33.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NEcCllrl45g,2022-12-05,0.9976524710655212,508.0,ABN,193.0,1.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o7Hw8HJrsrg,2022-12-07,-0.9899584650993348,655.0,TV9,263.0,0.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
avCaiQn9gpY,2022-12-16,-0.9992627501487732,1345.0,Sakshi,172.0,6.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
QNqUIf0iCmM,2022-12-16,-0.9913911819458008,1009.0,Sakshi,531.0,8.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jiqaJ92XlTE,2022-12-19,-0.9986735582351683,1540.0,ABN,501.0,1.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
