ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Gadapa Gadapaku ,panchayat elections,Kuppam,janasena party,tdp pattabhi,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,gorantla ,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy
yeVe29fobLs,2022-06-26,0.998271107673645,69114.0,Sakshi,278.0,71.0,mantralayam.png,Y Balanagi Reddy,YSRCP,Mantralayam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BH3AGYsS0Js,2022-06-28,0.9949057102203368,3362.0,Sakshi,580.0,1.0,mantralayam.png,Y Balanagi Reddy,YSRCP,Mantralayam,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tqqAqcQ_fVw,2022-06-28,0.997386872768402,2333.0,Sakshi,383.0,0.0,mantralayam.png,Y Balanagi Reddy,YSRCP,Mantralayam,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
8OGvCSgR3Lg,2022-06-28,0.9958315491676332,920811.0,Sakshi,474.0,755.0,mantralayam.png,Y Balanagi Reddy,YSRCP,Mantralayam,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2m_ECV3oRKk,2022-06-28,-0.9532487392425536,17068.0,Sakshi,323.0,14.0,mantralayam.png,Y Balanagi Reddy,YSRCP,Mantralayam,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
u1RkHYXS4qA,2022-06-29,0.9894040822982788,989.0,Sakshi,510.0,0.0,mantralayam.png,Y Balanagi Reddy,YSRCP,Mantralayam,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Zd5qxSy7kiM,2022-06-29,0.994987964630127,1518.0,Sakshi,360.0,1.0,mantralayam.png,Y Balanagi Reddy,YSRCP,Mantralayam,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2kVLcpILHAA,2022-06-30,-0.9979680180549622,2833.0,Sakshi,415.0,1.0,mantralayam.png,Y Balanagi Reddy,YSRCP,Mantralayam,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aE87ZC5fPss,2022-06-30,-0.997923731803894,1081.0,Sakshi,467.0,2.0,mantralayam.png,Y Balanagi Reddy,YSRCP,Mantralayam,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_X-H0laKpBE,2022-07-07,0.9974702596664428,2638.0,Sakshi,249.0,3.0,mantralayam.png,Y Balanagi Reddy,YSRCP,Mantralayam,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Z2oPQU4V_aM,2022-07-08,0.9971038699150084,50831.0,Sakshi,491.0,81.0,mantralayam.png,Y Balanagi Reddy,YSRCP,Mantralayam,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4pLmgovDjbU,2022-07-10,0.9862492680549622,588256.0,Sakshi,559.0,870.0,mantralayam.png,Y Balanagi Reddy,YSRCP,Mantralayam,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13VCte5oPLo,2022-07-10,-0.9973426461219788,172070.0,Sakshi,493.0,301.0,mantralayam.png,Y Balanagi Reddy,YSRCP,Mantralayam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
