ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ap employees,Sajjala ,ap assembly session today,alliance,gudivada amarnath,visakha
BVs2lSrKgb8,2022-12-04,-0.9979105591773988,3090.0,TV9,518.0,8.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zxy-b0DNwUI,2022-12-07,0.9940500259399414,3259.0,Sakshi,384.0,7.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
t4-hNTNaPOU,2022-12-11,0.9942275285720824,27629.0,Sakshi,386.0,20.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IXpelCRwfV0,2022-12-11,-0.9976629018783568,158779.0,Sakshi,282.0,176.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5KgfTt7oqI8,2022-12-12,0.9985733032226562,56405.0,Sakshi,553.0,42.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
z9gy0rJ5HxA,2022-12-13,0.9856131672859192,4340.0,Sakshi,324.0,11.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
wRoMBC8jIuI,2022-12-13,0.9692562222480774,9438.0,TV9,235.0,2.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
ePCtnLHACdE,2022-12-13,-0.991622507572174,1561.0,TV9,233.0,6.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGJqEVjtCsM,2022-12-13,0.9962142109870912,18351.0,Sakshi,198.0,304.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Vgk-BA0A2tQ,2022-12-14,0.9988070726394652,2658.0,TV9,223.0,7.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cc8wGZjz548,2022-12-14,0.9948686361312866,2305.0,TV9,545.0,2.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hSUuSqmpQYE,2022-12-14,-0.9985721111297609,158953.0,TV9,206.0,17.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1
AR9nxPkv3UA,2022-12-15,0.9978522062301636,1794.0,Sakshi,251.0,10.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EzCGeuK8jAI,2022-12-18,0.981423020362854,1437.0,TV9,265.0,0.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LxeOB3ZbWbc,2022-12-20,0.9978396892547609,28752.0,Sakshi,535.0,47.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
YNdkMCr-H5k,2022-12-20,0.9986128807067872,69814.0,Sakshi,516.0,136.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
bWsxZcCjYBc,2022-12-20,-0.9985439777374268,6392.0,TV9,514.0,4.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xNM0UiQ2NRM,2022-12-23,-0.9913181066513062,8459.0,ABN,223.0,6.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vfmPUsXOtWo,2022-12-24,-0.9994389414787292,1014.0,TV9,273.0,1.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2mP2xxx-_YA,2022-12-27,-0.997970163822174,2154.0,Sakshi,414.0,3.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
B5ythXc7zE0,2022-12-29,-0.998110055923462,249.0,ABN,195.0,0.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Rwqf8HyOSgo,2022-12-29,-0.996727466583252,7148.0,Sakshi,244.0,45.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
JseAvZUEVng,2022-12-29,-0.9935855269432068,2198.0,Sakshi,341.0,5.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Ou751MFBMag,2022-12-29,-0.995275855064392,934.0,ABN,213.0,2.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
cf8QutopwVk,2022-12-30,0.9955779314041138,2331.0,TV5,238.0,6.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0
5igxU_PT3_I,2022-12-30,-0.998678743839264,58040.0,TV9,455.0,257.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD2uzsEqfKg,2022-12-31,0.9972236156463624,26582.0,TV9,471.0,118.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fZjVTtnZZ30,2023-01-01,0.9953272342681884,10959.0,TV9,284.0,8.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
