ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,ap employees,ap assembly session today,high court,alliance,polavaram,visakha,byreddy siddharth reddy,vijayasai reddy,jogi ramesh ,roja,nellore ,srikakulam,yuvashakti,tadepalli,suprem court,ap development,tadipatri,Anam Ramanarayana Reddy,maa nammakam nuvve jagan,nandigama,High Court
4lhSLvFlftA,2022-10-18,0.9775060415267944,43874.0,ABN,385.0,91.0,guntur_east.png,Mohammad Musthafa Shaik,YSRCP,Guntur_East,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYWOZ9oyUvw,2022-10-18,-0.9982380867004396,2239.0,ABN,235.0,8.0,guntur_east.png,Mohammad Musthafa Shaik,YSRCP,Guntur_East,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
-me85yAurqY,2022-10-18,-0.9994712471961976,38298.0,ABN,450.0,70.0,guntur_east.png,Mohammad Musthafa Shaik,YSRCP,Guntur_East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b9A4FNCdqVw,2022-10-19,-0.999414563179016,1337.0,TV5,254.0,2.0,guntur_east.png,Mohammad Musthafa Shaik,YSRCP,Guntur_East,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uOQcDMx3MHU,2022-10-19,-0.9972032308578492,7505.0,ABN,420.0,12.0,guntur_east.png,Mohammad Musthafa Shaik,YSRCP,Guntur_East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e_zFgVT-UHM,2022-10-19,0.9980182647705078,2140.0,ABN,132.0,7.0,guntur_east.png,Mohammad Musthafa Shaik,YSRCP,Guntur_East,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0
4NBGiaCWAm8,2022-10-19,-0.998234748840332,12544.0,ABN,390.0,18.0,guntur_east.png,Mohammad Musthafa Shaik,YSRCP,Guntur_East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hzPSnrRy_yI,2022-10-19,-0.9905335903167723,4797.0,ABN,320.0,14.0,guntur_east.png,Mohammad Musthafa Shaik,YSRCP,Guntur_East,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fNRkcTTO4QQ,2022-10-19,-0.9743567109107972,47956.0,ABN,563.0,31.0,guntur_east.png,Mohammad Musthafa Shaik,YSRCP,Guntur_East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nlu1_CzLZBU,2022-10-19,0.989909052848816,15318.0,ABN,410.0,31.0,guntur_east.png,Mohammad Musthafa Shaik,YSRCP,Guntur_East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZdgMvz60jLc,2022-10-19,0.9011077880859376,4971.0,ABN,290.0,9.0,guntur_east.png,Mohammad Musthafa Shaik,YSRCP,Guntur_East,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oEhZsZg9VqM,2022-10-20,-0.9994975328445436,2868.0,ABN,355.0,3.0,guntur_east.png,Mohammad Musthafa Shaik,YSRCP,Guntur_East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
