ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,kodur.png,kadapa_l.png,vishakapatnam_west.png,kakinada.png,pulivendula.png,kanigiri.png,kalayan_durg.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,nandikotkur.png,tekkali.png
YJxDZ_rABvM,2022-11-23,219.0,3.0,39755.0,-0.9978411197662354,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
VZ4sKuXWmGY,2023-01-10,927.0,8.0,4674.0,-0.9959414601325988,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
3NtYFKstF3E,2023-01-23,103.0,5.0,8992.0,0.9797083735466005,TV9,Devineni Avinash,0,0,1,0,0,0,0,0,0,0,0,0,0
6QehdEOXns4,2022-12-04,196.0,15.0,22649.0,-0.9984887838363647,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
88S5_JT2W_Q,2023-04-21,135.0,0.0,2991.0,-0.99761700630188,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
sstUJw2K1iY,2023-04-19,240.0,5.0,10805.0,-0.9991253018379213,TV5,Devineni Avinash,1,0,0,0,0,0,0,0,0,0,0,0,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
SO2Y6lBUYDA,2022-09-14,70.0,0.0,828.0,-0.99519944190979,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
8jQq0m9Cz_o,2022-12-06,86.0,0.0,2402.0,-0.9953718781471252,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
ATaerN1DXqQ,2023-01-03,85.0,0.0,1134.0,-0.9988605976104736,TV9,Devineni Avinash,0,0,0,1,1,0,0,0,0,0,0,0,0
52b1jItdgQo,2022-11-29,228.0,0.0,22269.0,0.993390679359436,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
Aa_cqoRa73k,2022-12-06,345.0,0.0,2668.0,-0.9969273209571838,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
sgn-qSJmvu8,2022-12-10,241.0,0.0,757.0,0.9497401118278505,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,1,0,0,0,0
nOoVaBqzRFk,2023-01-29,361.0,30.0,87854.0,-0.9907413721084596,TV9,Devineni Avinash,0,0,1,0,0,0,0,0,0,0,0,1,0
