ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,penukonda.png,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,Srungavarapukota.png,tenali.png,kodur.png,venkatagiri.png,urvakonda.png,alur.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,tadikonda.png,eluru.png,venkat_krishna.png,palakollu.png,gajapathinagram.png,penamaluru.png,Rajam.png,pulivendula.png,kanigiri.png,kalayan_durg.png,kaikuluru.png,madugula.png,repalle.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,tuni.png,rayachoti.png,pamarru.png,nandikotkur.png,tadepalligudem.png,tekkali.png,denduluru.png
UeABH5B7g8I,2021-02-21,519.0,12.0,23674.0,0.9927558302879332,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z5-2rhwkZ60,2023-01-03,239.0,52.0,94369.0,-0.9973397850990297,ABN,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0vH1D3-Y4q0,2022-12-27,436.0,1.0,1254.0,0.9982205033302308,Sakshi,panchayat elections,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0
CgOE6O2jaLM,2021-02-17,188.0,1.0,14116.0,0.9976388216018676,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n58hnJIrBeI,2022-11-09,355.0,44.0,23118.0,-0.9985255599021912,TV5,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MJXtUrvNlHs,2023-02-05,113.0,1.0,3168.0,-0.981900990009308,TV9,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jie9eXBqYSw,2021-02-17,232.0,1.0,572.0,0.9982452392578124,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GrCROrOhfZQ,2023-04-21,176.0,4.0,1248.0,-0.9892454147338868,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Z9RUpVLEIro,2021-02-15,196.0,10.0,4008.0,0.9924942255020142,Sakshi,panchayat elections,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
toP9I4SM_4M,2023-01-10,49.0,4.0,4540.0,-0.9916576743125916,ABN,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5aA0MpxJZnk,2021-02-18,226.0,2.0,5013.0,0.9969101548194884,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QzsE1Anoyo4,2022-10-19,258.0,21.0,16378.0,-0.958534061908722,ABN,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p8dnM_Kt8QA,2021-02-20,248.0,1.0,2670.0,0.9968916773796082,Sakshi,panchayat elections,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mX8IVB-Ntgw,2021-02-18,490.0,35.0,71142.0,-0.9977418184280396,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE25Zb9zgpA,2022-11-17,316.0,2.0,10001.0,-0.9985744953155518,TV5,panchayat elections,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
