ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,kodur.png,venkatagiri.png,pulivendula.png,kalayan_durg.png,pedana.png
WGJR6kqs6R0,2023-03-09,297.0,7.0,1749.0,-0.9984232187271118,TV9,Jayaho BC,0,0,0,0,0
kzeNwFn_zfI,2023-03-27,90.0,1.0,765.0,-0.990546703338623,TV5,Jayaho BC,0,0,0,0,0
8aPdeIQKppc,2023-03-31,277.0,0.0,677.0,-0.8419522047042847,TV9,Jayaho BC,0,0,0,0,0
o91AUQQl1-0,2022-12-07,245.0,35.0,16177.0,-0.999455988407135,ABN,Jayaho BC,0,0,0,0,0
U8ldfBc8jDM,2022-11-27,261.0,1.0,1735.0,-0.9992228746414183,ABN,Jayaho BC,0,0,0,0,0
2GZVsV1fblI,2022-12-09,190.0,16.0,8175.0,0.9881161451339722,TV5,Jayaho BC,0,0,0,0,0
TgwGhUbL58E,2022-12-06,125.0,0.0,1193.0,-0.9993552565574646,TV9,Jayaho BC,0,1,0,0,0
Dq4NZ04LHpY,2022-12-07,364.0,0.0,1020.0,0.9962159991264344,ABN,Jayaho BC,0,0,1,0,0
vT6GOJj8F3Y,2023-03-09,340.0,0.0,436.0,-0.9874337315559388,ABN,Jayaho BC,0,0,0,0,0
xZXQmhf9C54,2022-12-07,14330.0,28.0,132876.0,0.9937918782234192,TV9,Jayaho BC,0,0,0,0,0
8OUvLHMcZ9I,2022-12-07,207.0,2.0,1824.0,0.9986782670021056,Sakshi,Jayaho BC,0,1,0,0,1
Qi7N9DeaWuo,2022-05-29,399.0,138.0,66175.0,0.9922637939453124,Sakshi,Jayaho BC,0,0,0,0,0
_rrRJWmPsjo,2022-12-07,42897.0,1.0,132189.0,-0.9993528723716736,ABN,Jayaho BC,0,0,0,0,0
42COP343B14,2023-02-02,250.0,19.0,6936.0,-0.9978649020195008,ABN,Jayaho BC,0,0,0,0,0
DrUVCTqszhY,2023-03-03,137.0,0.0,575.0,-0.9988504648208618,TV5,Jayaho BC,0,0,0,0,0
QQi1RXDslBM,2022-12-07,42900.0,0.0,81103.0,-0.9573757648468018,ABN,Jayaho BC,0,0,0,0,0
ZHX7EDusfCg,2022-12-07,630.0,3.0,5652.0,0.9846941232681274,TV5,Jayaho BC,0,0,0,0,0
we6Xv9oV6s0,2022-11-09,260.0,6.0,6389.0,-0.9817224144935608,TV5,Jayaho BC,1,0,0,0,0
jCmTiLA6MO0,2022-12-10,406.0,2.0,2567.0,0.9925946593284608,Sakshi,Jayaho BC,0,0,0,1,0
ECLmnkU8LDs,2022-12-07,386.0,11.0,6175.0,-0.971904158592224,Sakshi,Jayaho BC,0,0,0,0,0
FP78w40YKNU,2022-12-07,174.0,3.0,1825.0,-0.9970222115516664,TV9,Jayaho BC,0,0,0,0,0
AT21oFG9c5I,2023-03-13,181.0,44.0,16070.0,0.9977892637252808,TV5,Jayaho BC,1,0,0,0,0
XPkjxpra10Q,2022-12-07,267.0,31.0,16261.0,0.9977213740348816,Sakshi,Jayaho BC,0,0,0,0,0
LPj9356txPg,2022-12-09,270.0,64.0,44459.0,-0.9862571358680724,TV5,Jayaho BC,0,0,0,0,0
9ZIGzysOFeE,2022-12-07,273.0,1.0,2597.0,0.9978281855583192,TV9,Jayaho BC,0,0,1,0,0
Wj1kmfkMLnY,2022-08-15,494.0,0.0,3887.0,0.9978146553039552,Sakshi,Jayaho BC,0,0,0,0,0
izwE9wYQBvE,2022-12-07,205.0,7.0,2375.0,-0.9983298182487488,TV5,Jayaho BC,0,0,0,0,0
zGK8JI32onw,2022-12-07,4758.0,42.0,25840.0,0.9986099004745485,Sakshi,Jayaho BC,0,0,0,0,0
VtOJzhWdxz8,2022-12-08,250.0,7.0,1553.0,-0.9962207674980164,ABN,Jayaho BC,0,0,0,0,0
MZoEQ9yDLco,2023-03-24,155.0,85.0,63734.0,-0.9984930753707886,TV5,Jayaho BC,0,0,0,0,0
tzgzZt46WaU,2022-12-07,262.0,0.0,2121.0,0.9954824447631836,TV9,Jayaho BC,0,0,1,0,0
PVCWC1K16hM,2023-01-04,335.0,5.0,928.0,0.9940696954727172,TV9,Jayaho BC,0,0,0,0,0
TT6LcM1EKkM,2022-12-10,268.0,12.0,10764.0,-0.9978103041648864,Sakshi,Jayaho BC,1,0,0,1,0
oCT7AOINoPs,2023-04-07,211.0,17.0,33611.0,0.9985108971595764,Sakshi,Jayaho BC,0,0,0,0,0
bQCrM69hjvM,2023-03-24,272.0,1.0,768.0,-0.987585186958313,TV5,Jayaho BC,0,0,0,0,0
AswcjfI4BQQ,2023-01-28,275.0,3.0,6139.0,0.9961950778961182,TV5,Jayaho BC,1,0,0,0,0
vbhBi37F1K8,2022-12-05,208.0,8.0,9539.0,-0.9971676468849182,TV5,Jayaho BC,0,0,0,0,0
ISeewEaQB24,2022-12-07,345.0,128.0,183127.0,0.9955669045448304,Sakshi,Jayaho BC,0,0,0,0,0
o7Hw8HJrsrg,2022-12-07,263.0,0.0,655.0,-0.9899584650993348,TV9,Jayaho BC,0,0,1,0,1
ER2rRHASDts,2022-12-06,235.0,2.0,1331.0,0.9942069053649902,Sakshi,Jayaho BC,0,0,0,0,0
RU1NoZjprLw,2022-12-07,290.0,3.0,2928.0,-0.9951336979866028,TV9,Jayaho BC,0,0,0,0,0
oCawbWQxpQw,2023-02-21,277.0,3.0,583.0,0.9980877041816713,TV9,Jayaho BC,1,0,0,0,1
mddPm2vFFfU,2022-12-07,159.0,6.0,2950.0,0.9545135498046876,Sakshi,Jayaho BC,0,0,0,0,0
YYoYVjAfezM,2022-12-07,150.0,1.0,1528.0,-0.9977134466171264,TV9,Jayaho BC,0,0,0,0,0
a_9Hh0DgoIA,2022-12-07,224.0,0.0,2710.0,0.9960803389549256,TV9,Jayaho BC,0,0,0,0,0
dHGj2MavTsw,2023-03-02,175.0,3.0,567.0,0.99305659532547,TV5,Jayaho BC,0,0,0,0,0
018JApnuau8,2022-12-09,250.0,161.0,78586.0,-0.9991627931594848,TV5,Jayaho BC,0,0,0,0,0
HM85XkwTt1w,2022-12-02,398.0,2.0,2505.0,-0.9984951019287108,TV5,Jayaho BC,0,0,1,0,0
mtkOrF85vRI,2022-12-07,352.0,3.0,3697.0,-0.9987154006958008,ABN,Jayaho BC,0,0,0,0,0
SdmHX9M_XuI,2022-12-07,230.0,2.0,4422.0,-0.9878331422805786,Sakshi,Jayaho BC,1,0,0,0,0
boEtnh-X1Dw,2022-12-05,99.0,1.0,1471.0,-0.978512406349182,TV9,Jayaho BC,0,0,0,0,0
