ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,dhone.png,vizianagaram_.png,jaggayyapeta.png,kodur.png,venkatagiri.png,pulivendula.png,kanigiri.png,kalayan_durg.png,Venkata_Mahesh.png,nandikotkur.png
D6oMsoGzgH8,2023-03-16,349.0,0.0,1446.0,0.9943637847900392,TV9,Buggana Rajendranath,1,0,0,0,0,1,0,0,0,0
Aa_cqoRa73k,2022-12-06,345.0,0.0,2668.0,-0.9969273209571838,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
MQPy6A5O2Bw,2023-04-14,145.0,5.0,2545.0,-0.997900366783142,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
GAIPJjcef7o,2022-09-10,265.0,2.0,595.0,-0.9841833710670472,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
mWPAchR_up8,2023-03-15,100.0,4.0,7164.0,-0.9973255395889282,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,1,0,0
HWGHQ__f190,2022-09-15,282.0,1.0,2480.0,-0.9978548884391784,TV5,Buggana Rajendranath,1,0,0,0,0,0,0,0,0,0
5b9CfZI-k7Y,2023-04-17,240.0,1.0,322.0,0.9981220364570618,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
IOP-fqRCoFE,2023-03-17,195.0,6.0,3731.0,-0.999398946762085,Sakshi,Buggana Rajendranath,1,0,0,0,0,0,0,0,0,0
t_lPzAk56SM,2021-02-20,213.0,0.0,2274.0,0.998498558998108,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,Buggana Rajendranath,0,1,1,0,0,0,0,0,0,0
i-E15fhc32M,2022-10-08,621.0,21.0,7516.0,-0.9959702491760254,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
vGvKokkT6es,2022-12-06,134.0,0.0,990.0,-0.9973472356796264,TV9,Buggana Rajendranath,0,0,0,0,1,0,0,0,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
HpPUesHdybM,2023-03-11,309.0,2.0,6760.0,-0.9963822364807128,TV9,Buggana Rajendranath,0,0,0,0,1,0,0,0,0,0
nTZSnWsRNTk,2022-12-05,237.0,4.0,93365.0,0.7922638654708862,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
Y4JBJgUnsA0,2023-03-16,344.0,0.0,1419.0,0.9964689016342164,TV9,Buggana Rajendranath,1,0,0,0,0,0,0,0,0,0
jm66y5YRPDU,2023-03-02,191.0,2.0,809.0,-0.9890581965446472,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
t9g03F7HWmI,2023-03-16,310.0,0.0,1460.0,0.9961264729499816,TV9,Buggana Rajendranath,1,0,0,0,0,0,0,0,0,0
0xN7h4rb8Ks,2022-11-17,331.0,13.0,18204.0,-0.9984912872314452,TV5,Buggana Rajendranath,1,0,0,0,0,0,0,0,0,0
ygzCwItP3Ls,2022-12-23,32.0,0.0,748.0,-0.9915593266487122,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
aaW7Xmp-w4o,2022-11-27,190.0,17.0,2136.0,-0.9977365732192992,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
KZX9EuD0_OQ,2022-12-01,340.0,24.0,14912.0,-0.9905717372894288,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
