ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,gandhar_nellore.png,kodur.png,venkatagiri.png,alur.png,kakinada.png,narsapuram_l.png,palakollu.png,pulivendula.png,kanigiri.png,kalayan_durg.png,madugula.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,vizianagaram.png,tekkali.png,pawan.png
w-tvBtYx3MY,2022-10-14,59.0,8.0,14869.0,-0.996146321296692,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PgdNeeyWdO4,2022-11-12,300.0,250.0,211729.0,0.997253715991974,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-PseDqoVSxc,2022-12-11,302.0,4.0,886.0,-0.9994117021560668,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XiMZMHBTwZk,2022-12-29,522.0,8.0,11471.0,0.995002806186676,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0rsYo5T3GaE,2023-03-05,237.0,15.0,22647.0,0.9983620047569276,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIVMg3GL6LM,2022-12-09,157.0,0.0,732.0,-0.9982481002807616,ABN,cpi narayana,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
g6IyakOi3gs,2022-10-28,300.0,5.0,3389.0,-0.998716115951538,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bAaDjZW0Ofw,2023-04-02,89.0,2.0,793.0,-0.9910023808479308,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f_usi7zd2pk,2023-03-31,151.0,6.0,2857.0,-0.9983055591583252,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlilqosM37s,2023-04-14,203.0,21.0,13195.0,-0.9987254738807678,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1lvmdxtMrIA,2023-02-28,65.0,1.0,840.0,-0.998428761959076,TV5,cpi narayana,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dsifnua7Xjw,2023-02-25,358.0,11.0,7886.0,-0.9930009841918944,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jW1TuDOfgow,2022-12-26,299.0,0.0,3324.0,-0.9975058436393738,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nwd787queb0,2023-01-16,180.0,3.0,39421.0,0.99775367975235,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rvC2HAm-lBQ,2020-03-10,253.0,16.0,17279.0,0.9947039484977722,Sakshi,cpi narayana,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lXw44H_uR4M,2023-03-16,260.0,5.0,3076.0,-0.9984886646270752,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYTwL8kPuLM,2022-12-29,137.0,4.0,1471.0,-0.997885286808014,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Id39UlUvKUU,2022-11-25,208.0,0.0,58301.0,-0.996977686882019,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DM5MgI0H70o,2022-12-25,230.0,12.0,77984.0,-0.9577050805091858,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AXhKSEGrLRY,2023-01-28,87.0,64.0,146125.0,0.9935802221298218,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sYTzNqxt8-8,2023-03-07,185.0,2.0,1526.0,-0.9990630745887756,TV5,cpi narayana,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mkeYkcJ1Q2U,2023-01-21,127.0,0.0,1939.0,-0.999169111251831,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U5hAxGhisuw,2023-02-02,189.0,12.0,6350.0,-0.9619807600975036,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tYWmCUM6UAM,2022-03-31,78.0,22.0,6395.0,-0.9923468828201294,Sakshi,cpi narayana,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
