ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,venkatagiri.png,kakinada.png,kalayan_durg.png,sambasivarao.png
jLsgKO47QL4,2023-03-21,256.0,5.0,2319.0,-0.987561583518982,TV5,MLC Elections 2023,0,0,0,0
7PDFC-vywIs,2023-03-17,100.0,97.0,122995.0,0.9985236525535583,TV5,MLC Elections 2023,0,0,0,0
TNDm8vPat54,2023-03-10,247.0,0.0,1488.0,-0.9857937693595886,ABN,MLC Elections 2023,0,0,0,0
aJEybZf4QW8,2023-04-03,237.0,1.0,40065.0,-0.9979047775268556,TV9,MLC Elections 2023,0,0,0,0
ruyrhsdauZ0,2023-03-14,113.0,134.0,565170.0,-0.8741163611412048,TV9,MLC Elections 2023,0,0,0,0
3zq_P9SZ6CY,2023-03-07,248.0,0.0,990.0,0.9869540333747864,TV5,MLC Elections 2023,0,0,0,0
JrVhp57l2lc,2023-03-06,275.0,3.0,4675.0,-0.998533010482788,TV5,MLC Elections 2023,0,0,0,0
Q7ps2-Sd85I,2023-03-13,97.0,2.0,3789.0,-0.9992584586143494,TV5,MLC Elections 2023,0,0,0,0
IytyFW7fbW0,2023-03-19,447.0,6.0,2587.0,0.997179388999939,TV5,MLC Elections 2023,0,0,0,0
wbGCw5WvGKg,2023-04-04,223.0,2.0,1202.0,-0.9976231455802916,ABN,MLC Elections 2023,0,0,0,0
E5O5vLR46Ww,2023-03-18,94.0,56.0,36466.0,0.9964608550071716,Sakshi,MLC Elections 2023,0,0,0,0
kO8I4iZVXG4,2023-03-24,102.0,59.0,39038.0,0.9987976551055908,Sakshi,MLC Elections 2023,0,0,0,0
WqlrWV3Cb9w,2023-03-24,200.0,3.0,5574.0,0.9987199306488036,TV5,MLC Elections 2023,0,0,0,0
OoRN-nmhm4A,2023-03-30,299.0,18.0,6323.0,-0.9960493445396424,Sakshi,MLC Elections 2023,0,0,0,0
_MSR5LJLGuA,2023-03-17,275.0,434.0,626398.0,0.9966303706169128,TV5,MLC Elections 2023,0,0,0,0
WLAvcCcmQtE,2023-03-18,116.0,4.0,5462.0,0.997753083705902,TV9,MLC Elections 2023,0,0,0,0
4O0R4z-lq8g,2023-01-17,227.0,8.0,74398.0,-0.9730566143989564,TV9,MLC Elections 2023,0,0,0,0
na4-PQmrnQw,2023-02-18,330.0,1.0,709.0,0.9945092797279358,TV5,MLC Elections 2023,0,0,0,0
Ko5WVR7c5B8,2023-03-07,117.0,3.0,32472.0,-0.9863224029541016,TV9,MLC Elections 2023,0,0,0,0
PPiF0d39t88,2023-03-13,130.0,1.0,3418.0,-0.9972665309906006,TV9,MLC Elections 2023,0,0,0,0
ozK7ckMPXP4,2023-03-11,276.0,2.0,1887.0,0.9974853992462158,Sakshi,MLC Elections 2023,0,0,0,0
GyTiKsjunXI,2023-03-04,313.0,1.0,1160.0,0.9980314373970032,TV9,MLC Elections 2023,0,0,0,0
fu-EfgPYoXI,2023-03-16,223.0,27.0,16651.0,0.9980326294898988,Sakshi,MLC Elections 2023,0,0,0,0
lObXq_frIxc,2023-03-12,126.0,0.0,861.0,-0.9992333650588988,TV5,MLC Elections 2023,1,0,0,0
