ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,gandhar_nellore.png,penukonda.png,vizianagaram_.png,machillipatnam.png,jaggayyapeta.png,Srungavarapukota.png,kodur.png,srikakulam_.png,venkatagiri.png,urvakonda.png,alur.png,vishakapatnam_west.png,chodavaram.png,kakinada.png,chintalapudi.png,eluru.png,palakollu.png,gudivada.png,ankapalle.png,cheepurupali.png,penamaluru.png,myudukur.png,Rajam.png,pulivendula.png,jaggampeta.png,kanigiri.png,vinukonda.png,sarvepalli.png,singanamala.png,kalayan_durg.png,pedana.png,kaikuluru.png,madugula.png,unguturu.png,nandyal.png,sattenapalli.png,Etcherla.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,rayachoti.png,pamarru.png,nandyal_l.png,nandikotkur.png,vizianagaram.png,tadepalligudem.png,tekkali.png,kadiri.png,denduluru.png,pawan.png,tirupati_l2.png
YcS6BZtNy5A,2022-12-13,1145.0,24.0,13125.0,-0.975428819656372,Sakshi,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aM962i7umek,2022-06-26,331.0,57.0,19218.0,-0.998606264591217,Sakshi,Yellow Media,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
IvV06WAgMnA,2023-01-20,375.0,6.0,3015.0,-0.9992526173591614,ABN,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
TELILTaN3mY,2023-01-24,165.0,1.0,780.0,-0.9680721759796144,ABN,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FWwChmaP6C0,2021-07-14,585.0,15.0,3630.0,-0.9968889355659484,Sakshi,Yellow Media,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cVKanSE4MuA,2023-02-02,595.0,4.0,2264.0,-0.9994463324546814,ABN,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9D27AX9Dhe4,2022-10-27,259.0,26.0,6642.0,0.9962678551673888,Sakshi,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
de4XkSzr-Q8,2023-02-01,230.0,1.0,311.0,-0.9968990087509156,ABN,Yellow Media,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3NplYLqFeUY,2023-03-31,345.0,6.0,6839.0,0.9986543655395508,Sakshi,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
xdb4PVbioWM,2023-01-11,82.0,8.0,7569.0,-0.9979933500289916,TV5,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
