ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,kodur.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,rajahmundry_rural.png,venkat_krishna.png,pulivendula.png,kanigiri.png,kalayan_durg.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,tekkali.png,jammalamadugu.png,denduluru.png
_d0FzkDUiSI,2022-09-21,115.0,18.0,6658.0,-0.977127492427826,TV5,butchaiah chowdary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
g4mbmywWF4Y,2023-03-22,252.0,4.0,3192.0,0.9973052740097046,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5CxxKOU16E,2023-01-31,202.0,0.0,2636.0,-0.9987473487854004,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
J_nkAbso0ws,2023-03-20,173.0,19.0,4894.0,-0.9983224272727966,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oYSI_vAuDI0,2022-09-15,184.0,7.0,6893.0,-0.9967768788337708,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S9npJYigyW0,2022-11-27,68.0,0.0,1156.0,-0.9908213019371032,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVb_u6J0Mzc,2021-02-13,209.0,0.0,3128.0,0.9985673427581788,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0EHrYdZz_6I,2022-11-04,321.0,10.0,9182.0,0.996951937675476,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z5PKJFiV41A,2022-04-27,161.0,231.0,171572.0,0.9934960603713988,Sakshi,butchaiah chowdary,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wo43EsB1hhY,2023-03-25,219.0,10.0,154499.0,0.992953598499298,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iZxmtNJIezk,2022-03-22,355.0,2.0,425.0,0.9938973784446716,Sakshi,butchaiah chowdary,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9wR3bLdpJHU,2022-11-28,228.0,9.0,21464.0,0.989516258239746,TV9,butchaiah chowdary,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
