ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,venkatagiri.png,kakinada.png,eluru.png,pulivendula.png,kalayan_durg.png,Venkata_Mahesh.png,tekkali.png,denduluru.png,tirupati_l2.png
Tk-IyWtI9Dc,2023-01-02,263.0,7.0,1513.0,-0.998709201812744,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
uwzL1Z87nZ4,2022-11-19,70.0,0.0,1744.0,0.9977371692657472,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
rFsGVh3LBKM,2022-11-25,116.0,3.0,2084.0,-0.9757365584373474,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
QjpyxzjLe_s,2023-03-21,136.0,28.0,5852.0,0.9952978491783142,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,1,0,0,0,0,0
Urztknoj79M,2023-02-16,141.0,9.0,4564.0,0.9987565279006958,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
kdGxF2ToMD4,2023-03-17,324.0,2.0,336.0,-0.9949475526809692,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
91lYm6qEEUI,2022-12-28,227.0,3.0,67046.0,-0.9974914789199828,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
cbacQ77spio,2023-03-13,219.0,11.0,29839.0,-0.9994353652000428,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,chintamaneni prabhakar,0,0,0,1,0,1,0,0,1,0,0,0
AZIc9f6HBhY,2021-02-15,186.0,0.0,1664.0,0.9921661615371704,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
exyaLF4_YTA,2022-11-25,218.0,8.0,28606.0,-0.9941347241401672,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
NSlogXb40Fc,2023-02-13,195.0,3.0,4742.0,0.9924591183662416,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
SUe4DhsDOoE,2023-03-24,134.0,10.0,22225.0,0.9943872690200806,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
Kjs6hWAGCAE,2022-08-30,210.0,1.0,1771.0,-0.9989429116249084,TV5,chintamaneni prabhakar,0,0,0,1,0,0,0,0,0,0,0,0
QyUa8sHhfnI,2022-12-29,537.0,4.0,903.0,0.9906595945358276,Sakshi,chintamaneni prabhakar,1,0,0,0,0,0,1,0,1,0,1,1
qchdj2YqKvY,2021-02-15,191.0,0.0,2025.0,0.9966338276863098,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
g4mbmywWF4Y,2023-03-22,252.0,4.0,3192.0,0.9973052740097046,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
qnSxllO1SQE,2019-12-26,143.0,0.0,452.0,0.9781021475791932,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
-34rnf-aTEM,2023-04-04,88.0,4.0,4685.0,-0.9933615922927856,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
-37pFW32RuE,2023-01-07,288.0,5.0,809.0,-0.998258650302887,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
S9npJYigyW0,2022-11-27,68.0,0.0,1156.0,-0.9908213019371032,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
piuA9D8IujE,2023-03-04,92.0,4.0,3530.0,0.9985558390617372,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
EwHNrI5n5Mw,2022-10-03,167.0,37.0,26357.0,-0.9982990622520448,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,1,0,0
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
CVb_u6J0Mzc,2021-02-13,209.0,0.0,3128.0,0.9985673427581788,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
2mD0KQ38lCk,2022-08-22,259.0,5.0,3866.0,0.9967477321624756,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
uyW46xwf-mg,2022-12-08,178.0,4.0,3654.0,0.9982505440711976,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
Wo43EsB1hhY,2023-03-25,219.0,10.0,154499.0,0.992953598499298,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
dUM2QL4G4tA,2023-03-08,226.0,0.0,46766.0,-0.9899062514305116,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
bNBIOQBOHl8,2021-02-18,27.0,41.0,28854.0,-0.9937400817871094,Sakshi,chintamaneni prabhakar,0,0,0,0,0,1,0,0,0,0,0,0
xG9Q9g5mmF4,2022-12-09,245.0,4.0,2185.0,-0.9947564601898192,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
hfMyioXUEh4,2023-01-05,177.0,5.0,49964.0,-0.985933482646942,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
Eqsp8MEc9fo,2022-10-12,316.0,42.0,15494.0,0.998273491859436,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
fslWWR9jYgs,2023-04-21,268.0,3.0,4608.0,-0.9979040622711182,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
P9N_bqbVLyU,2022-09-13,75.0,0.0,1052.0,-0.9837819337844848,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
LHS4kAG2ge8,2022-09-25,98.0,52.0,74821.0,0.978127896785736,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
jPkVRSe_s-8,2023-02-10,339.0,1.0,1450.0,-0.9993374943733216,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
XkeMrbBpLn4,2022-12-07,196.0,4.0,3420.0,0.9976174235343932,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
6bpeI4tnfd4,2022-10-18,152.0,0.0,1123.0,-0.73752760887146,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,1,0,0,0,0
rZWhOuXjhpU,2023-03-01,124.0,2.0,510.0,-0.9987362027168274,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
LkyDLEH1QxE,2023-03-30,271.0,4.0,2970.0,-0.998319447040558,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,1,0,0
XYQWmCiDW8o,2023-01-02,278.0,3.0,1928.0,-0.9988584518432616,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
yHXtV4BgM_c,2023-01-05,226.0,30.0,164406.0,-0.9968475699424744,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
eQYwa2dXaOE,2022-12-24,254.0,1.0,711.0,0.998772919178009,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
XCkWpFSp86A,2022-10-06,295.0,1.0,1635.0,-0.99361914396286,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
5dIdLHZaAx8,2023-01-02,260.0,1.0,3105.0,-0.9828093647956848,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
7hhBzrjd47A,2023-01-01,146.0,12.0,23178.0,-0.9818983674049376,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
IVYQFtSyhC0,2023-01-11,279.0,0.0,2292.0,-0.999030351638794,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
nnROSRhm5WY,2023-01-02,310.0,18.0,15502.0,0.9906874299049376,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
IBV0YmDtri8,2022-12-10,83.0,0.0,1062.0,-0.993655800819397,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
0xaEOd_y1DA,2022-11-23,218.0,1.0,16751.0,-0.9913821816444396,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
myxLlJ8vRW0,2021-02-16,200.0,0.0,1474.0,0.9917044639587402,Sakshi,chintamaneni prabhakar,1,0,0,0,0,0,0,0,0,0,0,0
p7_ZbNlT1aI,2023-02-02,189.0,1.0,1669.0,-0.9936093091964722,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
