ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,tenali.png,venkatagiri.png,eluru.png,venkat_krishna.png,palakollu.png,vinukonda.png,kalayan_durg.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,tekkali.png,jammalamadugu.png
hQwCBocQ1Xg,2021-02-18,132.0,0.0,1783.0,0.997515082359314,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
orU-eke8M-A,2022-10-17,227.0,0.0,1037.0,-0.9984159469604492,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
ZlfmqkDuoUk,2022-12-10,271.0,3.0,1341.0,-0.9992413520812988,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
xKu7ZtTrGlY,2022-09-13,240.0,0.0,346.0,0.9984984397888184,TV5,undavalli arun kumar,0,1,0,0,0,0,0,0,0,0,0,0
5ZnZO4tKbLc,2022-09-16,271.0,5.0,5611.0,0.9985546469688416,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
GU2DhxCVNiQ,2023-02-25,90.0,0.0,1058.0,-0.9968342185020448,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
3CCO9I41cFQ,2022-09-13,237.0,2.0,1660.0,-0.9986322522163392,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
Hv8x_cC83hQ,2020-03-11,1214.0,10.0,7805.0,0.9982638955116272,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
grIW3b4PzEE,2021-02-20,225.0,0.0,1253.0,0.9968423843383788,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
QEkGRV_EScE,2022-11-21,254.0,0.0,2432.0,0.9861149787902832,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
CJ77aU3a-Qw,2023-01-01,234.0,0.0,778.0,0.9980886578559875,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
HRNbSXRFCik,2023-03-12,328.0,7.0,2941.0,0.9692771434783936,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
lP9rID45x_w,2023-01-24,230.0,3.0,2570.0,0.9943994879722596,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,1,1
X8P30MLDcH4,2022-12-01,291.0,1.0,1440.0,-0.9967674016952516,TV5,undavalli arun kumar,0,0,0,0,0,0,0,1,0,0,0,0
LxN1NDA7A8Y,2023-02-18,68.0,7.0,2074.0,-0.998660445213318,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
lDkS3S8ru20,2022-08-22,110.0,272.0,240137.0,-0.9994932413101196,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,1
bq_XV11a9WQ,2022-10-25,221.0,0.0,592.0,-0.9992988109588624,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
baSaNphiPxE,2022-09-28,196.0,0.0,2322.0,-0.9979568719863892,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
Jl4r5q05Yt8,2023-02-03,170.0,12.0,19357.0,-0.995862603187561,ABN,undavalli arun kumar,0,0,0,0,1,0,0,0,0,0,1,0
aqLKh26pWI4,2021-11-26,81.0,8.0,5992.0,0.9986542463302612,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
AgTB3J4jYxQ,2023-04-10,185.0,3.0,1419.0,-0.9988967180252076,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
vQOGUXuqV8s,2023-04-06,65.0,0.0,624.0,0.9984788298606871,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
OXyUiq1gdV0,2021-12-16,334.0,1.0,2064.0,0.9970034956932068,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
h9hu0-xGNAE,2022-10-21,248.0,0.0,275.0,-0.995496153831482,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
c6HNVv7pfeU,2022-09-20,351.0,62.0,8734.0,0.9987642765045166,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
OA4232GYGnc,2022-12-14,415.0,3.0,1803.0,-0.9551138281822203,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,1,0
wbGCw5WvGKg,2023-04-04,223.0,2.0,1202.0,-0.9976231455802916,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
xom2urXOKXI,2023-01-17,157.0,0.0,241.0,-0.9976085424423218,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
2B9iOT1Hefc,2023-03-13,40.0,0.0,3236.0,0.9988161325454712,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
m7p7u1cn7C0,2023-04-11,213.0,3.0,3648.0,0.9805788397789,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
aJTZhvFYCOs,2023-02-02,261.0,0.0,1107.0,0.9971858859062196,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
dDCMqNMZ_xg,2023-04-05,174.0,8.0,3771.0,0.9976874589920044,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
6iUo11lNTro,2023-03-14,327.0,2.0,2929.0,-0.9989864230155944,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,1
SxloH_Px_Mo,2021-02-18,160.0,2.0,2918.0,0.9882798194885254,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
q3SZQdlJsgU,2022-12-02,315.0,1.0,1912.0,-0.9897615313529968,ABN,undavalli arun kumar,0,1,0,0,1,0,0,0,0,0,0,0
C-zLy6pV8Ng,2023-01-01,55.0,5.0,10248.0,0.9920290112495422,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
LrvbaL4dF2o,2023-04-04,303.0,56.0,7929.0,-0.9976568222045898,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,1
5NJoSAciNHQ,2023-02-18,200.0,385.0,264775.0,-0.9804721474647522,TV5,undavalli arun kumar,0,0,1,0,0,0,0,0,0,0,0,1
