ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,kodur.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,tadikonda.png,eluru.png,venkat_krishna.png,pulivendula.png,kanigiri.png,kalayan_durg.png,sattenapalli.png,tekkali.png
dHK2_xg665U,2022-10-16,161.0,7.0,22729.0,-0.995246946811676,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iahHK6_4874,2021-08-21,293.0,7.0,12339.0,-0.9861266016960144,Sakshi,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9DiLSzKopCE,2023-01-14,206.0,5.0,55892.0,-0.9928379654884338,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yNo8KFJ95tA,2022-10-16,98.0,3.0,3585.0,-0.9931609630584716,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YX2F3vSISoM,2019-12-21,283.0,0.0,1516.0,0.9983395338058472,Sakshi,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-dReNwkvyrM,2023-04-19,132.0,12.0,14093.0,0.996772825717926,Sakshi,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OnBHuEuMsfg,2022-10-17,267.0,0.0,970.0,0.9878656268119812,ABN,bhuma akhila priya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2WdSdLmi9bY,2022-12-31,134.0,378.0,166834.0,-0.9979745745658876,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QZ_tz_w4IjY,2023-01-05,225.0,0.0,780.0,-0.9956434965133668,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7LdAStJvRcw,2022-12-15,136.0,4.0,3181.0,0.9969624876976012,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aiKz16NaisY,2023-01-31,268.0,2.0,1721.0,0.9978827834129332,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vVM9jhdfbvU,2023-02-07,174.0,0.0,3082.0,0.9931333661079408,TV5,bhuma akhila priya,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
tEjf8d7evOA,2022-12-19,213.0,16.0,26709.0,0.9960364699363708,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988-XS0JjuQ,2022-08-22,75.0,0.0,854.0,0.9943418502807616,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY94r8d_hO8,2023-01-04,214.0,4.0,3254.0,-0.9803707599639891,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
td6pJji2Qic,2023-02-16,380.0,5.0,1596.0,-0.9994472861289978,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LIbSq65Wba4,2023-03-19,346.0,0.0,2454.0,0.9904049634933472,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TpKN7vClU-w,2022-10-16,169.0,29.0,214424.0,-0.9966185092926024,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wnUR5oQE3mM,2023-01-02,272.0,0.0,739.0,-0.9994590878486632,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wa4ccYoPi6k,2022-12-10,219.0,10.0,94998.0,-0.9981805086135864,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x0jy1hKFKD8,2023-03-22,355.0,17.0,16487.0,0.9956929087638856,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o9-F7I7i5q8,2022-12-08,362.0,36.0,20652.0,-0.9964115023612976,TV9,bhuma akhila priya,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
dEuN8PPiJTg,2022-10-23,139.0,7.0,4314.0,0.9988555908203124,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
