ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,penukonda.png,vizianagaram_.png,jaggayyapeta.png,Srungavarapukota.png,tenali.png,kodur.png,venkatagiri.png,urvakonda.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,tadikonda.png,eluru.png,palakollu.png,pulivendula.png,kanigiri.png,kalayan_durg.png,madugula.png,unguturu.png,sattenapalli.png,Venkata_Mahesh.png,prathipadu.png,paturi_nagabhusnam.png,rayachoti.png,paderu.png,nandikotkur.png,tadepalligudem.png,tekkali.png,jammalamadugu.png,pawan.png
GI7JIZP__Gs,2022-11-23,207.0,2.0,11822.0,-0.9948220252990724,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onWgFFoR66I,2022-12-21,192.0,6.0,5496.0,-0.9948599338531494,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2tEp_KdLgNo,2022-10-24,192.0,35.0,26899.0,-0.996324360370636,TV5,Corona,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smD4rkssb4Q,2023-02-19,177.0,5.0,7257.0,-0.9965879917144777,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHG233HsSGc,2022-12-25,427.0,2.0,4512.0,-0.99667090177536,TV9,Corona,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0
eD8haSvsYxg,2022-12-24,211.0,3.0,2163.0,0.998414158821106,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ccGXl3qjVVY,2022-12-25,33205.0,6.0,309514.0,-0.9918885827064514,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2LtBwn3luQ,2022-10-13,474.0,0.0,447.0,-0.9981175661087036,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s76VVmSp9qU,2022-08-30,97.0,0.0,365.0,-0.9924402236938475,TV5,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ewuyYY1dpa8,2022-10-25,468.0,1.0,2963.0,0.9986263513565063,TV5,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UZa_gpPMEqc,2022-12-22,3103.0,43.0,110021.0,0.9949941039085388,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XbirwIaKfoM,2022-12-22,219.0,16.0,149176.0,0.9873033165931702,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xEX8EHgWLJI,2020-03-03,559.0,2.0,222.0,0.9836773872375488,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFn27i6Fazw,2022-11-28,284.0,0.0,470.0,0.9987131357192992,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYm2Dllnrbw,2022-07-15,288.0,48.0,22211.0,-0.997543215751648,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EZAY6k17jTA,2023-01-07,228.0,8.0,150209.0,-0.982996702194214,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e6QO4IwISUA,2020-03-16,867.0,30.0,14159.0,-0.9926568865776062,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
