ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,tenali.png,kodur.png,pulivendula.png,Venkata_Mahesh.png,myalavaram.png
myxLlJ8vRW0,2021-02-16,200.0,0.0,1474.0,0.9917044639587402,Sakshi,Devineni Uma,0,1,0,0,0
uGm3e_OFTeI,2022-10-11,330.0,25.0,11140.0,-0.9950127005577089,TV5,Devineni Uma,0,0,0,0,0
TZ5W_fcRTqI,2023-04-07,497.0,4.0,2193.0,0.9980180263519288,Sakshi,Devineni Uma,0,0,0,0,0
v-HpjeDhA6Y,2022-10-17,195.0,2.0,3481.0,-0.9993150234222412,TV5,Devineni Uma,0,0,0,0,0
unBh3YOQGA8,2023-04-01,138.0,2.0,4134.0,-0.9893073439598083,TV9,Devineni Uma,0,0,0,0,0
H43LZBe0iIc,2022-12-23,209.0,12.0,127954.0,0.9782228469848632,TV9,Devineni Uma,0,0,0,0,0
OTfy_NHpbX4,2023-02-19,98.0,0.0,2229.0,-0.9959136843681335,TV9,Devineni Uma,0,1,1,1,0
mWZlzE6_vyk,2023-02-18,268.0,0.0,591.0,0.996601700782776,ABN,Devineni Uma,0,0,0,0,0
7LXdKDDnZdY,2022-12-20,249.0,0.0,11662.0,0.9102590680122375,TV9,Devineni Uma,0,0,0,1,0
poF5tH6dhHc,2022-11-22,333.0,0.0,1152.0,-0.9977352619171144,ABN,Devineni Uma,0,0,0,0,0
AzCMDbRn6Sg,2023-02-22,3000.0,8.0,4653.0,0.991024374961853,TV5,Devineni Uma,0,0,0,0,0
AVlrJEATEus,2023-03-31,247.0,1.0,4028.0,-0.9974374771118164,TV5,Devineni Uma,0,0,0,0,0
c9YRKFx5N2g,2022-12-11,188.0,16.0,160629.0,-0.9982125759124756,TV9,Devineni Uma,0,0,0,0,0
nl16wABmJY8,2023-03-09,193.0,0.0,699.0,0.9987568855285645,TV5,Devineni Uma,0,0,0,0,0
aOv415Qynfs,2022-09-16,235.0,0.0,795.0,-0.9790698885917664,TV5,Devineni Uma,0,0,0,0,0
RIBMjw94NfE,2019-12-20,284.0,2.0,2154.0,0.9982081651687622,Sakshi,Devineni Uma,0,0,0,0,0
ZaeKg-6Jb6A,2022-08-13,131.0,27.0,14236.0,-0.9988574981689452,Sakshi,Devineni Uma,0,0,0,0,0
3_09BPW99Aw,2021-02-18,240.0,9.0,18811.0,-0.997835338115692,Sakshi,Devineni Uma,1,0,0,0,0
-kt1V-amRK0,2022-11-25,230.0,1.0,1123.0,-0.9967843294143676,TV9,Devineni Uma,0,0,0,0,0
_OwcAFmK_wI,2022-12-02,218.0,2.0,19461.0,-0.9816837310791016,TV9,Devineni Uma,0,0,0,0,0
fNMI8RqtA8E,2022-09-26,85.0,0.0,3529.0,0.995079755783081,TV5,Devineni Uma,0,0,0,0,0
7eMTGANX3sY,2023-03-18,224.0,14.0,254220.0,-0.9947413206100464,TV9,Devineni Uma,0,0,0,0,0
nxdLE9ME1lg,2023-04-09,61.0,1.0,623.0,0.998243808746338,TV9,Devineni Uma,0,0,0,0,0
2x5IKcw9PJU,2022-12-24,176.0,2.0,6617.0,-0.9904366135597228,TV9,Devineni Uma,0,0,0,0,1
XuMKclSYiTs,2022-10-16,90.0,0.0,3146.0,0.9861730933189392,TV5,Devineni Uma,0,0,0,0,0
WGnkgRrXhq0,2023-03-11,97.0,1.0,961.0,-0.9918980598449708,ABN,Devineni Uma,0,0,0,0,0
in5bp-b3NA4,2023-02-19,100.0,1.0,2613.0,0.9974768757820128,ABN,Devineni Uma,0,0,0,0,0
Dtr7we8IJBE,2022-12-16,179.0,3.0,56727.0,-0.9936175346374512,TV9,Devineni Uma,0,0,0,0,0
DpJ5LYmSr0Y,2023-01-17,114.0,0.0,858.0,-0.9970224499702454,TV9,Devineni Uma,0,0,0,0,0
-NRTXhkZdW0,2022-09-11,109.0,16.0,6095.0,-0.997469425201416,TV5,Devineni Uma,0,0,0,0,0
pPkl2x6Lh3k,2023-01-22,437.0,0.0,1462.0,0.9942407608032228,TV9,Devineni Uma,0,1,0,0,0
xLZGm3CyJkA,2023-04-09,2285.0,0.0,6333.0,0.9832321405410768,TV9,Devineni Uma,0,0,0,0,0
n_KpI83r3AI,2021-02-14,192.0,0.0,3221.0,0.9951104521751404,Sakshi,Devineni Uma,0,0,1,1,0
RA5QM4hKdIc,2023-01-20,71.0,0.0,1778.0,0.996697187423706,TV9,Devineni Uma,0,0,0,0,0
0DL1hPQok1g,2023-03-14,213.0,0.0,399.0,-0.9928529858589172,TV5,Devineni Uma,0,0,0,0,0
x3EJsPfE5ag,2023-04-15,15055.0,10.0,70249.0,0.9859613180160522,TV9,Devineni Uma,0,0,0,0,0
r1vG0ta9Pzk,2022-10-17,51.0,0.0,4737.0,0.9987277388572692,ABN,Devineni Uma,0,0,0,0,0
3dbKTqobBBU,2022-11-01,85.0,0.0,1551.0,-0.9867374300956726,TV5,Devineni Uma,0,0,0,0,0
DrzP48Npdoo,2023-01-23,45.0,7.0,11530.0,-0.9940873384475708,TV9,Devineni Uma,0,0,0,0,0
mjKoeiNPMmY,2021-02-17,228.0,1.0,4760.0,0.991859257221222,Sakshi,Devineni Uma,0,0,0,0,0
C4b8WX3DKME,2023-01-18,71.0,9.0,10551.0,-0.9986489415168762,Sakshi,Devineni Uma,0,0,0,0,0
0tRVJsIfpXw,2023-01-16,190.0,2.0,68914.0,0.9967324733734132,TV9,Devineni Uma,0,0,0,0,0
AliC0Xvr8Tk,2023-01-11,272.0,8.0,619.0,0.9982830286026,TV9,Devineni Uma,0,0,0,0,0
tw3KrfWz5-M,2021-08-04,283.0,5.0,2824.0,0.9931418299674988,Sakshi,Devineni Uma,0,0,0,0,0
sLBNjMHgiPc,2022-10-21,290.0,6.0,11292.0,-0.9963566064834596,TV5,Devineni Uma,0,0,1,0,0
lk1KeMUl_-I,2022-09-19,60.0,0.0,2253.0,-0.9970111846923828,TV5,Devineni Uma,0,0,0,0,0
IOtmp3JatjM,2022-11-26,94.0,0.0,812.0,0.9636096954345704,TV9,Devineni Uma,0,0,0,0,1
SyQ-gugX9OI,2022-11-25,228.0,1.0,34652.0,-0.9941493272781372,TV9,Devineni Uma,0,0,0,0,0
dCB-8-yRIjk,2022-09-14,294.0,12.0,3313.0,0.9982795715332032,Sakshi,Devineni Uma,0,0,0,0,0
I5__sFcrmLU,2023-03-28,199.0,0.0,314.0,-0.9957857728004456,ABN,Devineni Uma,0,0,0,0,0
4pvJEmUaHr4,2022-10-23,245.0,0.0,734.0,0.9988057613372804,ABN,Devineni Uma,0,0,0,0,0
0HLj4WJUTWw,2022-12-31,101.0,8.0,4277.0,-0.9959547519683838,TV9,Devineni Uma,0,0,0,0,0
wlk2x_hHnCI,2022-10-05,95.0,1.0,1237.0,-0.9921091198921204,TV5,Devineni Uma,0,0,0,0,0
Cn3INTQc7a0,2022-11-26,129.0,0.0,518.0,-0.9937543272972108,TV9,Devineni Uma,0,0,0,0,1
ZWjcZA_YxrM,2022-11-26,44.0,2.0,1183.0,-0.9916606545448304,TV9,Devineni Uma,0,0,0,0,1
2Z7T9Xq-Bks,2023-03-13,40.0,253.0,283425.0,0.9988480806350708,TV9,Devineni Uma,0,0,0,0,0
ly-CnDcNqj8,2023-01-11,232.0,1.0,1737.0,-0.9896592497825624,TV9,Devineni Uma,0,0,0,0,0
